wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0.0	0.016622340425531915	0.0	0.017509418388568117				-0.016622340425531915	-0.1269387412316378	0.12365608157695361	-0.1225014213608126			-0.2726651285995044	-0.16176168459799362	-0.2726651285995044	-0.024853631804676556		
abadía	0.0	0.0006648936170212766	0.0	0.0003314524511571668				-0.0006648936170212766	-0.022570028739480566	0.12536340641776395	-0.03775793109625241			-0.2726651285995044	-0.19324523654244163	-0.2726651285995044	-0.03650367391349071		
abajo	0.12349397590361445	0.19148936170212766	0.07969012514690361	0.1194725485480593				-0.0679953857985132	-0.06219436935864425	0.121442358783694	-0.06670279350087041			-0.27266512855741526	-0.16336917541956936	-0.2726651285878997	-0.02918472136626498		
abalanzar	0.0050200803212851405	0.011303191489361701	0.0024978815053686315	0.005677663769400511				-0.0062831111680765606	-0.055096682957001326	0.1250803097890909	-0.05455112861657428			-0.27266512857051906	-0.18381719122642762	-0.2726651285918502	-0.03449118828216679		
abanderado	0.001004016064257028	0.0006648936170212766	0.0004960553677159229	0.0003368255405376275				0.00033912244723575144	-0.011654450423139912	0.1254121755238269	-0.033613544374130534			-0.27266512850095415	-0.19583788006638533	-0.2726651285738818	-0.036948239802077704		
abanderar	0.001004016064257028	0.0	0.000500008000128002	0.0				0.001004016064257028	-0.004310220846251378	0.12544604560146025	-0.03071436887427553			-0.26611258207519656	-0.19754602424345463	-0.2717952171375989	-0.03725599856761818		
abandonar	0.24999999999999997	0.17420212765957446	0.14780247984235503	0.10794773062086613				0.07579787234042551	0.024095063192446114	0.12935752892467256	-0.009746751271793475			-0.272665128505844	-0.22005777623730577	-0.2726651285756831	-0.04258638584579426		
abandono	0.04618473895582329	0.04188829787234043	0.023865031531099784	0.02131078365358748				0.0042964410834828645	-0.006149730371009174	0.12565021731680887	-0.02815048256266608			-0.27266512852754704	-0.1982981177061131	-0.27266512858002123	-0.03776722043598635		
abanicar	0.001004016064257028	0.0006648936170212766	0.0004970376555727862	0.00032276389175790125				0.00033912244723575144	-0.011654450423139912	0.12541367074664997	-0.03348765358138246			-0.27266512850095415	-0.19583788006638533	-0.2726651285727126	-0.03696169881994681		
abanico	0.020080321285140562	0.029920212765957445	0.011568321739912327	0.01774657713515875				-0.009839891480816883	-0.04751457385886357	0.12478229035651793	-0.0567325020045706			-0.2726651285557043	-0.18417761576936917	-0.2726651285881634	-0.033824015386223864		
abar	0.0	0.0006648936170212766	0.0	0.00032753380148831357				-0.0006648936170212766	-0.022570028739480566	0.1253637958939072	-0.03772510401588982			-0.2726651285995044	-0.19324523654244163	-0.2726651285995044	-0.03650721994321202		
abarcar	0.010040160642570281	0.018617021276595744	0.004990622219285653	0.010184140316788633				-0.008576860634025463	-0.05587186647429288	0.1248801637867154	-0.060677089860633304			-0.2726651285643079	-0.1826540448608047	-0.27266512859097874	-0.03357145309950574		
abarrotar	0.0	0.0006648936170212766	0.0	0.00032948147523353645				-0.0006648936170212766	-0.022570028739480566	0.12536360231384194	-0.03774142150988278			-0.2726651285995044	-0.19324523654244163	-0.2726651285995044	-0.036505457376946514		
abarrote	0.0	0.0006648936170212766	0.0	0.00032753380148831357				-0.0006648936170212766	-0.022570028739480566	0.1253637958939072	-0.03772510401588982			-0.2726651285995044	-0.19324523654244163	-0.2726651285995044	-0.03650721994321202		
abastecer	0.0	0.0019946808510638296	0.0	0.0009830084831626716				-0.0019946808510638296	-0.03597627042149096	0.12529864800558196	-0.043049903456970885			-0.2726651285995044	-0.1899300865901429	-0.2726651285995044	-0.03592422994107644		
abastecimiento	0.001004016064257028	0.0013297872340425532	0.0004975302597904004	0.0006557161771921727				-0.00032577116978552514	-0.018554372162287922	0.12538062744720593	-0.03623053354357703			-0.2726651285502293	-0.19418835432385784	-0.2726651285863036	-0.03666656636733403		
abasto	0.004016064257028112	0.0	0.0019897813654376874	0.0				0.004016064257028112	0.02329313295659218	0.12559411476651963	-0.019233464963938657			-0.24645494269806303	-0.2040106650350359	-0.2692033168082567	-0.03847878366791874		
abate	0.002008032128514056	0.0006648936170212766	0.0009873486100414994	0.000643030577390016				0.0013431385114927794	-0.0016926346188332626	0.12543057151390494	-0.03218122808374505			-0.2726651284024038	-0.19820398807122572	-0.27266512857279057	-0.03710379468996164		
abatimiento	0.007028112449799196	0.012632978723404254	0.0034738010198404816	0.006881954375153474				-0.005604866273605059	-0.04768922560666109	0.12505761189584277	-0.05444904459442453			-0.2726651285631964	-0.1857474756423293	-0.27266512859072245	-0.03446147625031105		
abatir	0.023092369477911646	0.022606382978723402	0.011964205526404299	0.011159635863075293				0.0004859864991882436	-0.013537877351728666	0.1254763161058399	-0.03170707840944457			-0.27266512853283803	-0.19552141397808706	-0.2726651285808521	-0.0372171272042843		
abdicar	0.001004016064257028	0.0019946808510638296	0.0004955656783104778	0.0010079167315427348				-0.0009906647868068016	-0.025060692105150297	0.12534542683402766	-0.03906058498084528			-0.2726651285666543	-0.19259160436950037	-0.2726651285909503	-0.036357721780053205		
abdomen	0.002008032128514056	0.0026595744680851063	0.0009995303670002464	0.0013144883029992981				-0.0006515423395710503	-0.021254086926461187	0.125365045814161	-0.03737924206570241			-0.2726651285502293	-0.19350161011046535	-0.2726651285862751	-0.03653897983394334		
abdul	0.0	0.003989361702127659	0.0	0.0026138924056414645				-0.003989361702127659	-0.053527166754491526	0.12513655380633443	-0.055030152624677406			-0.2726651285995044	-0.18531420297891787	-0.2726651285995044	-0.03455257707088593		
abecedario	0.0	0.0019946808510638296	0.0	0.0009880569235693893				-0.0019946808510638296	-0.03597627042149096	0.12529814623908964	-0.043089669368840955			-0.2726651285995044	-0.1899300865901429	-0.2726651285995044	-0.03591981630207314		
