,section,speech,narrated,emotional_NRC,neutral_NRC,positive_NRC,negative_NRC,speech_emotional_NRC,narrated_emotional_NRC,speech_neutral_NRC,narrated_neutral_NRC
nh0001_1,1,58.36177474402731,41.638225255972685,55.290102389078505,44.709897610921495,13.993174061433447,8.873720136518774,24.573378839590443,30.716723549488048,33.78839590443686,10.921501706484642
nh0001_2,2,56.996587030716725,43.00341296928328,65.52901023890784,34.47098976109216,10.238907849829351,12.969283276450513,32.08191126279864,33.44709897610921,24.91467576791809,9.55631399317406
nh0001_3,3,47.7815699658703,52.2184300341297,70.30716723549489,29.69283276450512,16.723549488054605,14.675767918088734,24.232081911262803,46.075085324232084,23.54948805460751,6.143344709897611
nh0001_4,4,47.7815699658703,52.2184300341297,66.21160409556313,33.78839590443686,12.969283276450513,14.334470989761092,23.54948805460751,42.66211604095563,24.232081911262803,9.55631399317406
nh0001_5,5,59.32203389830508,40.67796610169492,62.033898305084755,37.96610169491525,13.220338983050848,9.830508474576273,30.50847457627119,31.525423728813557,28.813559322033896,9.152542372881355
nh0002_1,1,29.39958592132505,70.60041407867493,64.80331262939957,35.19668737060041,21.22153209109731,12.008281573498964,11.594202898550725,53.20910973084886,17.805383022774325,17.391304347826086
nh0002_2,2,44.92753623188405,55.07246376811594,59.1097308488613,40.89026915113871,18.426501035196686,10.869565217391305,16.35610766045549,42.7536231884058,28.57142857142857,12.318840579710145
nh0002_3,3,46.99792960662526,53.00207039337474,58.281573498964796,41.718426501035204,14.699792960662524,7.453416149068322,22.360248447204967,35.921325051759844,24.63768115942029,17.08074534161491
nh0002_4,4,46.68737060041408,53.31262939958592,52.79503105590062,47.20496894409938,15.63146997929607,7.971014492753622,15.942028985507244,36.853002070393366,30.745341614906835,16.459627329192546
nh0002_5,5,52.680412371134025,47.319587628865975,50.30927835051546,49.69072164948454,14.020618556701029,8.041237113402063,18.453608247422682,31.85567010309278,34.22680412371134,15.463917525773196
nh0003_1,1,44.11764705882353,55.88235294117647,49.264705882352935,50.735294117647065,12.5,8.088235294117647,16.911764705882355,32.35294117647059,27.20588235294117,23.529411764705877
nh0003_2,2,53.67647058823529,46.32352941176471,55.147058823529406,44.852941176470594,14.705882352941178,5.882352941176469,30.14705882352941,25.0,23.529411764705877,21.323529411764707
nh0003_3,3,51.470588235294116,48.529411764705884,53.67647058823529,46.32352941176471,15.441176470588234,3.6764705882352944,24.264705882352942,29.411764705882355,27.20588235294117,19.11764705882353
nh0003_4,4,40.44117647058824,59.558823529411754,55.147058823529406,44.852941176470594,9.558823529411764,11.029411764705882,13.970588235294118,41.17647058823529,26.470588235294123,18.38235294117647
nh0003_5,5,43.165467625899275,56.834532374100725,49.64028776978417,50.35971223021583,4.316546762589929,12.949640287769785,15.827338129496402,33.81294964028777,27.33812949640288,23.02158273381295
nh0004_1,1,55.721393034825866,44.278606965174134,53.7313432835821,46.2686567164179,14.925373134328355,9.950248756218906,22.388059701492534,31.34328358208955,33.33333333333333,12.935323383084574
nh0004_2,2,77.61194029850745,22.388059701492534,55.22388059701493,44.77611940298507,16.91542288557214,5.970149253731343,39.30348258706468,15.92039800995025,38.30845771144278,6.467661691542287
nh0004_3,3,57.21393034825871,42.78606965174129,60.19900497512438,39.800995024875625,17.412935323383085,7.4626865671641776,29.850746268656717,30.34825870646766,27.363184079601982,12.437810945273633
nh0004_4,4,33.33333333333333,66.66666666666666,70.1492537313433,29.850746268656717,10.44776119402985,15.422885572139304,18.40796019900497,51.7412935323383,14.925373134328355,14.925373134328355
nh0004_5,5,39.40886699507389,60.59113300492611,56.15763546798029,43.84236453201971,13.300492610837441,13.300492610837441,14.285714285714285,41.87192118226601,25.12315270935961,18.7192118226601
nh0005_1,1,39.473684210526315,60.526315789473685,82.45614035087719,17.543859649122805,42.982456140350884,6.140350877192982,28.947368421052637,53.50877192982456,10.526315789473683,7.0175438596491215
nh0005_2,2,52.631578947368425,47.368421052631575,76.31578947368422,23.684210526315788,42.982456140350884,4.385964912280701,35.08771929824561,41.2280701754386,17.543859649122805,6.140350877192982
nh0005_3,3,25.438596491228072,74.56140350877193,71.9298245614035,28.070175438596486,36.84210526315789,5.263157894736842,19.298245614035086,52.631578947368425,6.140350877192982,21.929824561403507
