,section,speech,narrated,emotional_WN,neutral_WN,positive_WN,negative_WN,speech_emotional_WN,narrated_emotional_WN,speech_neutral_WN,narrated_neutral_WN
nh0001_1,1,58.36177474402731,41.638225255972685,20.819112627986343,79.18088737201366,6.143344709897611,1.3651877133105803,3.7542662116040963,17.064846416382252,54.60750853242321,24.573378839590443
nh0001_2,2,56.996587030716725,43.00341296928328,25.938566552901026,74.06143344709898,7.8498293515358375,3.0716723549488054,8.873720136518774,17.064846416382252,48.12286689419796,25.938566552901026
nh0001_3,3,47.7815699658703,52.2184300341297,29.35153583617747,70.64846416382252,9.897610921501707,4.09556313993174,6.143344709897611,23.208191126279864,41.638225255972685,29.01023890784983
nh0001_4,4,47.7815699658703,52.2184300341297,25.597269624573368,74.4027303754266,6.143344709897611,4.778156996587032,4.778156996587032,20.819112627986343,43.00341296928328,31.399317406143346
nh0001_5,5,59.32203389830508,40.67796610169492,24.74576271186441,75.2542372881356,8.47457627118644,2.3728813559322037,7.118644067796612,17.6271186440678,52.20338983050847,23.05084745762712
nh0002_1,1,29.39958592132505,70.60041407867493,37.16356107660456,62.836438923395434,10.662525879917185,3.6231884057971016,3.8302277432712217,33.33333333333333,25.56935817805383,37.267080745341616
nh0002_2,2,44.92753623188405,55.07246376811594,27.12215320910973,72.87784679089026,9.316770186335404,2.2774327122153206,5.383022774327122,21.73913043478261,39.54451345755693,33.33333333333333
nh0002_3,3,46.99792960662526,53.00207039337474,22.87784679089027,77.12215320910974,7.246376811594202,2.380952380952381,4.9689440993788825,17.908902691511386,42.028985507246375,35.09316770186335
nh0002_4,4,46.68737060041408,53.31262939958592,22.463768115942024,77.53623188405797,8.695652173913043,1.7598343685300208,5.279503105590061,17.184265010351968,41.407867494824025,36.12836438923395
nh0002_5,5,52.680412371134025,47.319587628865975,18.659793814432987,81.34020618556701,5.360824742268041,1.9587628865979383,3.9175257731958766,14.742268041237116,48.762886597938135,32.577319587628864
nh0003_1,1,44.11764705882353,55.88235294117647,19.11764705882353,80.88235294117648,5.147058823529411,1.4705882352941175,6.617647058823531,12.5,37.5,43.38235294117647
nh0003_2,2,53.67647058823529,46.32352941176471,23.529411764705877,76.47058823529412,6.617647058823531,2.2058823529411766,11.764705882352938,11.764705882352938,41.911764705882355,34.55882352941176
nh0003_3,3,51.470588235294116,48.529411764705884,21.323529411764707,78.67647058823529,7.352941176470589,1.4705882352941175,8.823529411764708,12.5,42.647058823529406,36.02941176470589
nh0003_4,4,40.44117647058824,59.558823529411754,16.176470588235293,83.82352941176471,3.6764705882352944,1.4705882352941175,5.147058823529411,11.029411764705882,35.29411764705883,48.529411764705884
nh0003_5,5,43.165467625899275,56.834532374100725,11.510791366906474,88.48920863309353,1.4388489208633095,0.0,0.7194244604316548,10.791366906474819,42.446043165467636,46.0431654676259
nh0004_1,1,55.721393034825866,44.278606965174134,16.91542288557214,83.08457711442786,4.975124378109453,4.477611940298506,7.960199004975125,8.955223880597012,47.76119402985074,35.32338308457712
nh0004_2,2,77.61194029850745,22.388059701492534,19.900497512437813,80.09950248756219,6.965174129353233,2.4875621890547266,15.422885572139304,4.477611940298506,62.18905472636816,17.910447761194032
nh0004_3,3,57.21393034825871,42.78606965174129,26.368159203980106,73.6318407960199,8.45771144278607,3.4825870646766166,10.945273631840797,15.422885572139304,46.2686567164179,27.363184079601982
nh0004_4,4,33.33333333333333,66.66666666666666,26.865671641791053,73.13432835820895,7.960199004975125,1.9900497512437807,2.4875621890547266,24.37810945273632,30.845771144278608,42.288557213930346
nh0004_5,5,39.40886699507389,60.59113300492611,19.70443349753695,80.29556650246306,2.4630541871921183,2.955665024630542,4.433497536945813,15.270935960591133,34.97536945812808,45.320197044334975
nh0005_1,1,39.473684210526315,60.526315789473685,59.649122807017534,40.35087719298245,24.561403508771928,5.263157894736842,16.666666666666664,42.982456140350884,22.807017543859647,17.543859649122805
nh0005_2,2,52.631578947368425,47.368421052631575,48.24561403508772,51.75438596491229,20.175438596491226,6.140350877192982,21.052631578947366,27.192982456140356,31.578947368421048,20.175438596491226
