wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
cul	0.0	0.0026666666666666666	0.0	0.013049258196847721				-0.0026666666666666666	-0.3410369178350665	-0.013049258196847721	-1.204720320591698			3.7499999859375e-09	1.0541086303003122	7.663270847650485e-10	1.2214911246136329		
culte	0.004232804232804233	0.0006666666666666666	0.020585741568832916	0.00326797385620915				0.0035661375661375666	0.41611053394407005	0.017317767712623767	1.2049111809752606			6.349206268968256	0.9364789164385743	6.299236903847208	0.8067785543500213		
cultiver	0.0021164021164021165	0.0006666666666666666	0.010266590676344774	0.003144654088050314				0.00144973544973545	0.18385195948438948	0.007121936588294461	0.6246272367235743			3.174603141984128	0.9719341984192367	3.264775827875652	0.9000497272647207		
curiace	0.0010582010582010583	0.0	0.007470840804174138	0.0				0.0010582010582010583	0.14511670785980968	0.007470840804174138	0.8049490412725788			105820106.82010584	0.9781577590310951	747084081.4174138	0.8788430967979949		
curieux	0.002645502645502646	0.008	0.012671708211620458	0.04189561695479581				-0.005354497354497355	-0.5093725227952737	-0.02922390874317535	-1.1947195995540003			0.3306878315244709	1.0878855917482355	0.3024590432041682	1.2799089604682177		
curiosité	0.0010582010582010583	0.007333333333333333	0.005137382588362981	0.042330975947460596				-0.006275132275132275	-0.6484324146727634	-0.03719359335909762	-1.7895493949310604			0.14430014546700776	1.1108373299418002	0.12136225263328818	1.4204579598090636		
cutume	0.0	0.0006666666666666666	0.0	0.003333333333333333				-0.0006666666666666666	-0.0931094043914813	-0.003333333333333333	-0.41503749927884304			1.4999999775000003e-08	1.0142135557123406	2.999999991e-09	1.0666318157425452		
cuve	0.0005291005291005291	0.0	0.0026193095500026196	0.0				0.0005291005291005291	0.07438219632257592	0.0026193095500026196	0.33563297719549023			52910053.91005291	0.9888043638817687	261930956.00026196	0.9494822031650763		
cuver	0.0	0.0006666666666666666	0.0	0.0032362459546925564				-0.0006666666666666666	-0.0931094043914813	-0.0032362459546925564	-0.40449400503737376			1.4999999775000003e-08	1.0142135557123406	3.0899999904519e-09	1.0648293836871405		
cydalise	0.0	0.0026666666666666666	0.0	0.013104879876908308				-0.0026666666666666666	-0.3410369178350665	-0.013104879876908308	-1.2081975889011503			3.7499999859375e-09	1.0541086303003122	7.630745253903422e-10	1.2222725299022603		
cydon	0.0010582010582010583	0.0	0.005163062093755164	0.0				0.0010582010582010583	0.14511670785980968	0.005163062093755164	0.6005611269512157			105820106.82010584	0.9781577590310951	516306210.3755164	0.90960654327896		
cyndonax	0.0015873015873015873	0.0	0.007793989275470759	0.0				0.0015873015873015873	0.21254463538010082	0.007793989275470759	0.8313899879936226			158730159.73015875	0.9680088446665629	779398928.547076	0.8748633377596012		
cynique	0.0	0.0006666666666666666	0.0	0.0033003300330033004				-0.0006666666666666666	-0.0931094043914813	-0.0033003300330033004	-0.41146204505501593			1.4999999775000003e-08	1.0142135557123406	3.0299999908190997e-09	1.0660199011007063		
cypris	0.0	0.0006666666666666666	0.0	0.0033003300330033004				-0.0006666666666666666	-0.0931094043914813	-0.0033003300330033004	-0.41146204505501593			1.4999999775000003e-08	1.0142135557123406	3.0299999908190997e-09	1.0660199011007063		
cyprès	0.0021164021164021165	0.0	0.009966743605722389	0.0				0.0021164021164021165	0.2769613638758708	0.009966743605722389	0.9975990615273096			211640212.64021167	0.9583131609166782	996674361.572239	0.8498463794170211		
cyrus	0.0015873015873015873	0.0	0.007611268258027193	0.0				0.0015873015873015873	0.21254463538010082	0.007611268258027193	0.8164988071635815			158730159.73015875	0.9680088446665629	761126826.8027194	0.8771046838099507		
cède	0.0015873015873015873	0.002	0.00785945446139621	0.009773432094340655				-0.00041269841269841274	-0.05048977045369263	-0.0019139776329444459	-0.1468752905495645			0.7936507946825396	1.0079127379142234	0.8041652499847628	1.025948355232298		
cèdre	0.0005291005291005291	0.0	0.002568449170390918	0.0				0.0005291005291005291	0.07438219632257592	0.002568449170390918	0.3298066456043882			52910053.91005291	0.9888043638817687	256844918.0390918	0.9503591534518794		
céans	0.0	0.004	0.0	0.019266019896387446				-0.004	-0.4854268271702411	-0.019266019896387446	-1.5492265562632284			2.49999999375e-09	1.0788231541824405	5.190485657437011e-10	1.3040901238576232		
cécile	0.0	0.0026666666666666666	0.0	0.0169988076988588				-0.0026666666666666666	-0.3410369178350665	-0.0169988076988588	-1.432895697464084			3.7499999859375e-09	1.0541086303003122	5.88276552760143e-10	1.2749772713837464		
céder	0.0380952380952381	0.018	0.20456848815091233	0.09389534306026712				0.0200952380952381	0.7804672328027928	0.11067314509064521	1.0463072260665154			2.1164021157818933	0.8487006067271732	2.178686199674699	0.6797146586619776		
cédez	0.0015873015873015873	0.0	0.007757704359646108	0.0				0.0015873015873015873	0.21254463538010082	0.007757704359646108	0.8284450882747452			158730159.73015875	0.9680088446665629	775770436.9646108	0.8753065893344034		
cédons	0.0021164021164021165	0.0	0.010213238365116648	0.0				0.0021164021164021165	0.2769613638758708	0.010213238365116648	1.0153004745640466			211640212.64021167	0.9583131609166782	1021323837.511665	0.8471820512721735		
cédèrent	0.0005291005291005291	0.0	0.0026455026455026454	0.0				0.0005291005291005291	0.07438219632257592	0.0026455026455026454	0.33862438375967585			52910053.91005291	0.9888043638817687	264550265.55026454	0.9490319516125533		
céla	0.0	0.0013333333333333333	0.0	0.006745017884517117				-0.0013333333333333333	-0.1805722456418204	-0.006745017884517117	-0.743731916915956			7.49999994375e-09	1.0279381576304931	1.4825757553777267e-09	1.126053602012623		
céleste	0.010052910052910053	0.002	0.048109040556828714	0.009678822985504883				0.008052910052910053	0.7407772081162252	0.03843021757132383	1.5621187005009833			5.0264550063227516	0.8839056734070536	4.97054658290289	0.724358532913264		
célibat	0.0	0.002	0.0	0.009740465765594264				-0.002	-0.26303440583379345	-0.009740465765594264	-0.9811560298037207			4.999999975e-09	1.0412226535609865	1.026644950086065e-09	1.1732664633630796		
célidan	0.0	0.0006666666666666666	0.0	0.003333333333333333				-0.0006666666666666666	-0.0931094043914813	-0.003333333333333333	-0.41503749927884304			1.4999999775000003e-08	1.0142135557123406	2.999999991e-09	1.0666318157425452		
