	raw	relative	tfidf	zscores
SVC	[ 0.97  0.89  0.98]	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]
KNN	[ 0.92  0.95  0.97]	[ 0.92  0.95  0.97]	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]
RF	[ 0.95  0.95  0.98]	[ 0.95  0.95  0.98]	[ 0.98  0.97  0.97]	[ 0.95  0.95  0.97]
DT	[ 0.94  0.92  0.92]	[ 0.81  0.95  0.98]	[ 0.97  0.97  0.97]	[ 0.97  0.94  0.98]
LR	[ 0.97  0.95  0.98]	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]	[ 0.31  0.03  0.08]
BN	[ 0.7   0.83  0.9 ]	[ 0.7   0.83  0.9 ]	[ 0.7   0.83  0.9 ]	[ 0.98  0.92  0.98]
GN	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]	[ 0.95  0.95  0.97]
