	raw	relative	tfidf	zscores
SVC	[ 1.    0.85  0.9   0.68  0.74  0.84  0.95  0.84  0.84  0.89]	[ 0.9   0.9   0.9   0.89  0.89  0.89  0.89  0.89  0.89  0.94]	[ 0.9   0.9   0.9   0.89  0.89  0.89  0.89  0.89  0.89  0.94]	[ 0.9   0.9   0.9   0.89  0.89  0.84  0.89  1.    0.95  0.94]
KNN	[ 0.9   0.9   0.9   0.89  0.84  0.84  0.84  0.84  0.95  0.83]	[ 0.9   0.85  0.9   0.89  0.79  0.84  0.84  0.89  0.95  0.94]	[ 0.75  0.95  0.95  0.79  0.63  0.74  0.58  0.89  0.89  1.  ]	[ 0.9   0.9   0.9   0.89  0.84  0.89  0.84  1.    0.95  0.94]
RF	[ 0.9   0.9   0.9   0.89  0.89  0.84  0.84  0.89  0.89  0.83]	[ 0.9   0.9   0.9   0.89  0.84  0.79  0.89  0.89  0.89  0.94]	[ 0.9   0.85  0.9   0.89  0.89  0.84  0.89  0.89  0.89  0.94]	[ 0.9   0.95  0.85  0.89  0.89  0.79  0.89  0.89  0.89  0.94]
DT	[ 0.8   0.85  0.9   0.89  0.79  0.79  0.68  0.84  0.79  0.72]	[ 0.9   0.75  0.85  0.79  0.79  0.84  0.79  0.68  0.79  0.94]	[ 0.85  0.9   0.85  0.79  0.84  0.79  0.84  0.74  0.84  0.83]	[ 0.9   0.9   0.85  0.79  0.74  0.79  0.74  0.68  0.74  0.89]
LR	[ 0.95  0.9   0.95  0.84  0.89  0.68  0.89  0.95  0.84  0.94]	[ 0.9   0.9   0.9   0.89  0.89  0.89  0.89  0.89  0.89  0.94]	[ 0.9   0.9   0.9   0.89  0.89  0.89  0.89  0.89  0.89  0.94]	[ 0.1   0.1   0.1   0.11  0.11  0.11  0.11  0.11  0.16  0.06]
BN	[ 0.55  0.7   0.5   0.84  0.89  0.74  0.63  0.89  0.74  0.83]	[ 0.55  0.7   0.5   0.84  0.89  0.74  0.63  0.89  0.74  0.83]	[ 0.55  0.7   0.5   0.84  0.89  0.74  0.63  0.89  0.74  0.83]	[ 0.9   0.9   0.95  0.84  0.84  0.79  0.89  0.95  0.89  1.  ]
GN	[ 0.85  0.8   0.85  0.84  0.84  0.84  0.74  0.89  0.84  0.83]	[ 0.9   0.9   0.95  0.89  0.79  0.89  0.95  0.89  0.84  0.94]	[ 0.9   0.9   0.95  0.89  0.79  0.89  0.95  0.89  0.84  0.94]	[ 0.9   0.9   0.95  0.89  0.89  0.89  0.95  0.89  0.84  0.94]
