	raw	relative	tfidf	zscores
SVC	[ 0.7   0.65]	[ 0.66  0.67]	[ 0.66  0.67]	[ 0.73  0.77]
KNN	[ 0.59  0.63]	[ 0.64  0.6 ]	[ 0.61  0.56]	[ 0.7   0.67]
RF	[ 0.7  0.7]	[ 0.66  0.72]	[ 0.66  0.67]	[ 0.66  0.63]
DT	[ 0.59  0.58]	[ 0.45  0.47]	[ 0.55  0.58]	[ 0.45  0.47]
LR	[ 0.73  0.65]	[ 0.66  0.67]	[ 0.66  0.67]	[ 0.23  0.3 ]
BN	[ 0.7   0.72]	[ 0.7   0.72]	[ 0.7   0.72]	[ 0.64  0.74]
GN	[ 0.66  0.7 ]	[ 0.66  0.7 ]	[ 0.68  0.7 ]	[ 0.66  0.67]
