	raw	relative	tfidf	zscores
SVC	[ 0.62  0.53  0.43  0.59]	[ 0.46  0.45  0.46  0.46]	[ 0.46  0.43  0.48  0.46]	[ 0.73  0.64  0.65  0.65]
KNN	[ 0.54  0.53  0.37  0.5 ]	[ 0.5   0.43  0.57  0.5 ]	[ 0.58  0.34  0.48  0.52]	[ 0.62  0.4   0.54  0.41]
RF	[ 0.71  0.7   0.52  0.57]	[ 0.6   0.62  0.48  0.61]	[ 0.69  0.51  0.59  0.52]	[ 0.67  0.6   0.59  0.52]
DT	[ 0.6   0.4   0.41  0.67]	[ 0.56  0.47  0.57  0.41]	[ 0.56  0.6   0.5   0.52]	[ 0.52  0.53  0.57  0.43]
LR	[ 0.71  0.51  0.33  0.54]	[ 0.46  0.45  0.46  0.46]	[ 0.52  0.51  0.52  0.46]	[ 0.33  0.09  0.11  0.11]
BN	[ 0.67  0.62  0.41  0.5 ]	[ 0.67  0.62  0.41  0.5 ]	[ 0.67  0.62  0.41  0.5 ]	[ 0.71  0.7   0.57  0.57]
GN	[ 0.6   0.55  0.46  0.43]	[ 0.46  0.51  0.48  0.46]	[ 0.5   0.53  0.46  0.48]	[ 0.5   0.49  0.48  0.48]
