	raw	relative	tfidf	zscores
SVC	[ 0.84  0.86]	[ 0.92  0.92]	[ 0.92  0.92]	[ 0.93  0.93]
KNN	[ 0.88  0.86]	[ 0.9   0.92]	[ 0.92  0.92]	[ 0.89  0.92]
RF	[ 0.92  0.86]	[ 0.92  0.91]	[ 0.92  0.92]	[ 0.92  0.92]
DT	[ 0.9   0.85]	[ 0.9   0.83]	[ 0.76  0.68]	[ 0.9   0.78]
LR	[ 0.85  0.88]	[ 0.92  0.92]	[ 0.92  0.92]	[ 0.32  0.15]
BN	[ 0.7   0.83]	[ 0.7   0.83]	[ 0.7   0.83]	[ 0.74  0.92]
GN	[ 0.91  0.92]	[ 0.91  0.92]	[ 0.92  0.93]	[ 0.92  0.92]
