	raw	relative	tfidf	zscores
SVC	[ 0.1   0.11]	[ 0.12  0.13]	[ 0.16  0.12]	[ 0.17  0.2 ]
KNN	[ 0.12  0.09]	[ 0.11  0.16]	[ 0.1   0.21]	[ 0.1   0.21]
RF	[ 0.15  0.13]	[ 0.14  0.13]	[ 0.11  0.16]	[ 0.15  0.08]
DT	[ 0.12  0.04]	[ 0.15  0.12]	[ 0.12  0.13]	[ 0.17  0.15]
LR	[ 0.15  0.19]	[ 0.15  0.12]	[ 0.12  0.16]	[ 0.17  0.16]
BN	[ 0.14  0.13]	[ 0.14  0.13]	[ 0.14  0.13]	[ 0.17  0.24]
GN	[ 0.21  0.13]	[ 0.15  0.11]	[ 0.16  0.07]	[ 0.11  0.07]
