	raw	relative	tfidf	zscores
SVC	[ 0.89  0.94]	[ 0.96  0.97]	[ 0.96  0.97]	[ 0.97  0.98]
KNN	[ 0.89  0.97]	[ 0.96  0.97]	[ 0.96  0.97]	[ 0.96  0.97]
RF	[ 0.96  0.97]	[ 0.96  0.97]	[ 0.96  0.97]	[ 0.95  0.97]
DT	[ 0.93  0.91]	[ 0.91  0.89]	[ 0.85  0.97]	[ 0.89  0.94]
LR	[ 0.9   0.95]	[ 0.96  0.97]	[ 0.96  0.97]	[ 0.31  0.16]
BN	[ 0.73  0.85]	[ 0.73  0.85]	[ 0.73  0.85]	[ 0.86  0.96]
GN	[ 0.96  0.97]	[ 0.96  0.97]	[ 0.97  0.98]	[ 0.96  0.97]
