	raw	relative	tfidf	zscores
SVC	[ 0.95  0.67  1.    0.9   0.95  0.95  0.81  0.95  0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  0.95  1.    0.95  0.95  0.9   0.95  0.95]
KNN	[ 0.95  0.81  0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.9   0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95]
RF	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.9   0.95  0.95]	[ 0.95  0.9   0.95  0.95  0.95  0.95  0.9   0.95  0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.9   0.9   0.95  0.95]	[ 0.95  0.95  1.    0.95  0.95  0.95  0.95  0.95  0.95]
DT	[ 0.95  0.86  1.    0.95  0.95  0.9   0.86  0.95  0.9 ]	[ 0.71  0.95  1.    0.9   0.86  0.9   0.95  0.86  0.86]	[ 0.71  0.86  0.95  0.95  0.9   0.86  0.95  0.86  0.95]	[ 0.95  0.95  1.    0.9   0.86  0.95  0.9   0.95  0.9 ]
LR	[ 0.95  0.71  1.    0.95  0.9   0.95  0.9   1.    0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95  0.95]	[ 0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05]
BN	[ 0.71  0.33  0.81  0.81  0.81  0.81  1.    0.86  0.76]	[ 0.71  0.33  0.81  0.81  0.81  0.81  1.    0.86  0.76]	[ 0.71  0.33  0.81  0.81  0.81  0.81  1.    0.86  0.76]	[ 0.95  0.43  1.    0.9   0.95  0.95  0.9   0.95  0.95]
GN	[ 0.95  0.9   0.95  1.    0.95  0.86  0.95  0.95  0.81]	[ 0.95  0.95  0.95  1.    0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  0.95  1.    0.95  0.95  0.95  0.95  0.95]	[ 0.95  0.95  1.    1.    0.95  0.95  0.95  0.95  0.95]
