	raw	relative	tfidf	zscores
SVC	[ 0.5   0.45  0.37  0.53  0.37  0.47  0.53  0.53  0.42  0.5 ]	[ 0.6   0.6   0.63  0.63  0.63  0.63  0.63  0.63  0.63  0.61]	[ 0.6   0.6   0.63  0.63  0.63  0.63  0.63  0.63  0.63  0.61]	[ 0.5   0.7   0.58  0.74  0.53  0.68  0.68  0.63  0.74  0.61]
KNN	[ 0.4   0.55  0.53  0.53  0.53  0.53  0.47  0.53  0.53  0.56]	[ 0.45  0.6   0.37  0.42  0.42  0.37  0.32  0.47  0.53  0.39]	[ 0.5   0.55  0.68  0.63  0.47  0.42  0.68  0.58  0.68  0.56]	[ 0.45  0.6   0.63  0.58  0.58  0.63  0.47  0.47  0.58  0.67]
RF	[ 0.5   0.65  0.58  0.58  0.47  0.63  0.42  0.42  0.53  0.44]	[ 0.65  0.65  0.58  0.58  0.53  0.63  0.68  0.58  0.58  0.5 ]	[ 0.45  0.6   0.47  0.58  0.58  0.63  0.58  0.68  0.53  0.61]	[ 0.45  0.6   0.63  0.68  0.58  0.68  0.53  0.63  0.58  0.56]
DT	[ 0.5   0.55  0.63  0.63  0.32  0.37  0.37  0.63  0.37  0.39]	[ 0.55  0.4   0.68  0.58  0.47  0.63  0.53  0.58  0.42  0.5 ]	[ 0.5   0.65  0.47  0.63  0.47  0.53  0.53  0.53  0.37  0.28]	[ 0.4   0.5   0.68  0.63  0.42  0.63  0.47  0.63  0.32  0.61]
LR	[ 0.6   0.65  0.37  0.58  0.53  0.47  0.53  0.68  0.58  0.5 ]	[ 0.6   0.6   0.63  0.63  0.63  0.63  0.63  0.63  0.63  0.61]	[ 0.6   0.6   0.63  0.63  0.63  0.63  0.63  0.63  0.63  0.61]	[ 0.3   0.35  0.37  0.32  0.32  0.26  0.11  0.26  0.26  0.33]
BN	[ 0.2   0.2   0.53  0.42  0.32  0.53  0.37  0.63  0.47  0.33]	[ 0.2   0.2   0.53  0.42  0.32  0.53  0.37  0.63  0.47  0.33]	[ 0.2   0.2   0.53  0.42  0.32  0.53  0.37  0.63  0.47  0.33]	[ 0.35  0.55  0.32  0.89  0.42  0.58  0.42  0.68  0.47  0.33]
GN	[ 0.35  0.5   0.37  0.53  0.32  0.53  0.42  0.42  0.68  0.67]	[ 0.5   0.6   0.53  0.58  0.42  0.68  0.32  0.32  0.53  0.72]	[ 0.55  0.6   0.47  0.58  0.42  0.68  0.32  0.32  0.58  0.72]	[ 0.55  0.6   0.53  0.53  0.47  0.68  0.37  0.37  0.53  0.72]
