C_acequia
C_afición
C_agregar
C_anochecer
C_arca
C_balazo
C_batallón
C_bobo
C_butaca
C_campamento
C_campaña
C_capellán
C_carretera
C_casino
C_caudillo
C_chihuahua
C_coger
C_cohorte
C_comisario
C_compadre
C_corolario
C_coronel
C_cortijo
C_cosecha
C_devoción
C_discurrir
C_diseminar
C_ejército
C_entendimiento
C_enterar
C_enterarse
C_fachada
C_federal
C_ferrar
C_flanco
C_galán
C_genaro
C_hierba
C_huerto
C_imponderable
C_indio
C_ingenioso
C_linaje
C_marqués
C_mencionado
C_mexicano
C_paco
C_pampa
C_pasillo
C_peonar
C_peseta
C_piar
C_prisionero
C_quiroga
C_rapaz
C_reparar
C_retaguardia
C_señorito
C_tejado
C_teniente
C_unitario
C_vanguardia
C_viña
N_aires
N_bonifacio
N_buenos
N_chile
N_fermín
N_gómez
N_joaquín
N_madrid
N_mariano
N_mauricio
N_méndez
N_méxico
N_montevideo
N_rafael
N_sebastián
N_tucumán
N_valencia
N_vázquez
N_vega
