_madrid
_cual
_coger
_además
_algo
_tío
_entender
_señora
_subir
_don
_gustar
_notar
_aunque
_menudo
_cuanto
_dulce
_mozo
_gusto
_comenzar
_cierto
_según
_procurar
_dicho
_valer
_santo
_duda
_hermoso
_añadir
_casi
_ocasión
_mostrar
_dama
_junto
_principal
_criado
_propio
_señor
_satisfacer
_chico
_ocurrir
_bastante
_soldado
_momento
_concluir
_frente
_necesario
_agregar
_silencio
_buenos
_profundo
_combate
_arma
_aires
_jefe
_suceder
_caballo
_ejército
_preciso
_campaña
_general
_oficial
_nacional
_entonces
_entretanto
_marcha
_retirar
_violento
_sangre
_tranquilo
_cruzar
_arrebatar
_caudillo
_sombra
_gobierno
_coronel
_esperar
_guerra
_formidable
_sangriento
_puesto
_herir
_brusco
