,section,speech,narrated,emotional_WN,neutral_WN,positive_WN,negative_WN,speech_emotional_WN,narrated_emotional_WN,speech_neutral_WN,narrated_neutral_WN
nh0001_1,1,58.36177474402731,41.638225255972685,74.4027303754266,25.597269624573368,6.143344709897611,1.3651877133105803,38.22525597269625,36.177474402730375,20.13651877133106,5.460750853242321
nh0001_2,2,56.996587030716725,43.00341296928328,79.18088737201366,20.819112627986343,7.8498293515358375,3.0716723549488054,41.29692832764505,37.8839590443686,15.699658703071673,5.119453924914676
nh0001_3,3,47.7815699658703,52.2184300341297,83.61774744027305,16.38225255972696,9.897610921501707,4.09556313993174,34.129692832764505,49.48805460750854,13.651877133105804,2.7303754266211606
nh0001_4,4,47.7815699658703,52.2184300341297,79.86348122866896,20.13651877133106,6.143344709897611,4.778156996587032,30.03412969283277,49.82935153583618,17.747440273037547,2.389078498293516
nh0001_5,5,59.32203389830508,40.67796610169492,80.0,20.0,8.47457627118644,2.3728813559322037,42.3728813559322,37.6271186440678,16.94915254237288,3.050847457627119
nh0002_1,1,29.39958592132505,70.60041407867493,82.71221532091097,17.28778467908903,10.662525879917185,3.6231884057971016,20.80745341614907,61.904761904761905,8.592132505175984,8.695652173913043
nh0002_2,2,44.92753623188405,55.07246376811594,79.71014492753623,20.28985507246377,9.316770186335404,2.2774327122153206,29.71014492753623,50.0,15.217391304347828,5.0724637681159415
nh0002_3,3,46.99792960662526,53.00207039337474,76.60455486542443,23.39544513457557,7.246376811594202,2.380952380952381,31.366459627329192,45.23809523809525,15.63146997929607,7.763975155279502
nh0002_4,4,46.68737060041408,53.31262939958592,72.46376811594203,27.53623188405797,8.695652173913043,1.7598343685300208,29.39958592132505,43.064182194616976,17.28778467908903,10.248447204968944
nh0002_5,5,52.680412371134025,47.319587628865975,71.75257731958762,28.24742268041237,5.360824742268041,1.9587628865979383,32.47422680412371,39.27835051546392,20.20618556701031,8.041237113402063
nh0003_1,1,44.11764705882353,55.88235294117647,80.14705882352942,19.852941176470583,5.147058823529411,1.4705882352941175,32.35294117647059,47.79411764705882,11.764705882352938,8.088235294117647
nh0003_2,2,53.67647058823529,46.32352941176471,77.94117647058823,22.058823529411764,6.617647058823531,2.2058823529411766,41.17647058823529,36.76470588235294,12.5,9.558823529411764
nh0003_3,3,51.470588235294116,48.529411764705884,69.85294117647058,30.14705882352941,7.352941176470589,1.4705882352941175,28.676470588235286,41.17647058823529,22.794117647058826,7.352941176470589
nh0003_4,4,40.44117647058824,59.558823529411754,73.52941176470588,26.470588235294123,3.6764705882352944,1.4705882352941175,26.470588235294123,47.058823529411754,13.970588235294118,12.5
nh0003_5,5,43.165467625899275,56.834532374100725,65.46762589928058,34.53237410071942,1.4388489208633095,0.0,22.302158273381295,43.165467625899275,20.863309352517987,13.66906474820144
nh0004_1,1,55.721393034825866,44.278606965174134,76.61691542288555,23.38308457711443,4.975124378109453,4.477611940298506,38.30845771144278,38.30845771144278,17.412935323383085,5.970149253731343
nh0004_2,2,77.61194029850745,22.388059701492534,75.62189054726367,24.37810945273632,6.965174129353233,2.4875621890547266,56.21890547263681,19.402985074626862,21.393034825870647,2.985074626865672
nh0004_3,3,57.21393034825871,42.78606965174129,82.08955223880598,17.910447761194032,8.45771144278607,3.4825870646766166,45.77114427860697,36.318407960198996,11.442786069651742,6.467661691542287
nh0004_4,4,33.33333333333333,66.66666666666666,83.5820895522388,16.417910447761194,7.960199004975125,1.9900497512437807,23.38308457711443,60.19900497512438,9.950248756218906,6.467661691542287
nh0004_5,5,39.40886699507389,60.59113300492611,76.35467980295566,23.64532019704433,2.4630541871921183,2.955665024630542,28.57142857142857,47.783251231527096,10.83743842364532,12.807881773399014
nh0005_1,1,39.473684210526315,60.526315789473685,91.22807017543859,8.771929824561402,24.561403508771928,5.263157894736842,33.33333333333333,57.894736842105274,6.140350877192982,2.631578947368421
