,section,speech,narrated,emotional_WN,neutral_WN,positive_WN,negative_WN,speech_emotional_WN,narrated_emotional_WN,speech_neutral_WN,narrated_neutral_WN,emotional_NRC,neutral_NRC,positive_NRC,negative_NRC,speech_emotional_NRC,narrated_emotional_NRC,speech_neutral_NRC,narrated_neutral_NRC,Trust_NRC,Fear_NRC,Joy_NRC,Sadness_NRC,Anger_NRC,Disgust_NRC,Anticipation_NRC,Surprise_NRC,Trust_NRC_speech,Trust_NRC_narrated,Fear_NRC_speech,Fear_NRC_narrated,Joy_NRC_speech,Joy_NRC_narrated,Sadness_NRC_speech,Sadness_NRC_narrated,Anger_NRC_speech,Anger_NRC_narrated,Disgust_NRC_speech,Disgust_NRC_narrated,Anticipation_NRC_speech,Anticipation_NRC_narrated,Surprise_NRC_speech,Surprise_NRC_narrated
nh0003_1,1,44.11764705882353,55.88235294117647,19.11764705882353,80.88235294117648,5.147058823529411,1.4705882352941175,6.617647058823531,12.5,37.5,43.38235294117647,33.088235294117645,66.91176470588235,12.5,8.088235294117647,8.823529411764708,24.264705882352942,35.29411764705883,31.617647058823533,12.5,1.4705882352941175,0.0,9.558823529411764,0.7352941176470588,0.7352941176470588,9.558823529411764,0.0,5.882352941176469,6.617647058823531,0.7352941176470588,0.7352941176470588,0.0,0.0,4.411764705882354,5.147058823529411,0.7352941176470588,0.0,0.0,0.7352941176470588,2.2058823529411766,7.352941176470589,0.0,0.0
nh0003_2,2,53.67647058823529,46.32352941176471,23.529411764705877,76.47058823529412,6.617647058823531,2.2058823529411766,11.764705882352938,11.764705882352938,41.911764705882355,34.55882352941176,30.14705882352941,69.85294117647058,14.705882352941178,5.882352941176469,13.970588235294118,16.176470588235293,39.70588235294117,30.14705882352941,11.029411764705882,3.6764705882352944,2.9411764705882346,9.558823529411764,0.0,2.2058823529411766,4.411764705882354,0.0,7.352941176470589,3.6764705882352944,1.4705882352941175,2.2058823529411766,1.4705882352941175,1.4705882352941175,7.352941176470589,2.2058823529411766,0.0,0.0,0.7352941176470588,1.4705882352941175,2.9411764705882346,1.4705882352941175,0.0,0.0
nh0003_3,3,51.470588235294116,48.529411764705884,21.323529411764707,78.67647058823529,7.352941176470589,1.4705882352941175,8.823529411764708,12.5,42.647058823529406,36.02941176470589,33.82352941176471,66.17647058823529,15.441176470588234,3.6764705882352944,16.911764705882355,16.911764705882355,34.55882352941176,31.617647058823533,13.970588235294118,0.7352941176470588,1.4705882352941175,8.088235294117647,1.4705882352941175,1.4705882352941175,6.617647058823531,0.0,10.294117647058822,3.6764705882352944,0.0,0.7352941176470588,1.4705882352941175,0.0,3.6764705882352944,4.411764705882354,0.0,1.4705882352941175,0.0,1.4705882352941175,2.2058823529411766,4.411764705882354,0.0,0.0
nh0003_4,4,40.44117647058824,59.558823529411754,16.176470588235293,83.82352941176471,3.6764705882352944,1.4705882352941175,5.147058823529411,11.029411764705882,35.29411764705883,48.529411764705884,30.882352941176467,69.11764705882352,9.558823529411764,11.029411764705882,7.352941176470589,23.529411764705877,33.088235294117645,36.02941176470589,3.6764705882352944,2.9411764705882346,2.2058823529411766,11.764705882352938,1.4705882352941175,2.2058823529411766,6.617647058823531,2.2058823529411766,0.0,3.6764705882352944,0.7352941176470588,2.2058823529411766,0.7352941176470588,1.4705882352941175,5.882352941176469,5.882352941176469,0.0,1.4705882352941175,1.4705882352941175,0.7352941176470588,0.7352941176470588,5.882352941176469,0.7352941176470588,1.4705882352941175
nh0003_5,5,43.165467625899275,56.834532374100725,11.510791366906474,88.48920863309353,1.4388489208633095,0.0,0.7194244604316548,10.791366906474819,42.446043165467636,46.0431654676259,25.89928057553957,74.10071942446042,4.316546762589929,12.949640287769785,4.316546762589929,21.582733812949638,38.84892086330935,35.25179856115108,7.1942446043165456,2.1582733812949644,0.0,5.755395683453237,2.8776978417266186,2.1582733812949644,2.1582733812949644,0.7194244604316548,2.8776978417266186,4.316546762589929,0.0,2.1582733812949644,0.0,0.0,0.0,5.755395683453237,0.7194244604316548,2.1582733812949644,1.4388489208633095,0.7194244604316548,0.0,2.1582733812949644,0.7194244604316548,0.0
nh0004_1,1,55.721393034825866,44.278606965174134,16.91542288557214,83.08457711442786,4.975124378109453,4.477611940298506,7.960199004975125,8.955223880597012,47.76119402985074,35.32338308457712,37.3134328358209,62.6865671641791,14.925373134328355,9.950248756218906,13.432835820895527,23.88059701492537,42.288557213930346,20.39800995024876,11.442786069651742,5.472636815920398,0.4975124378109453,5.472636815920398,4.477611940298506,1.9900497512437807,8.45771144278607,1.4925373134328357,6.965174129353233,4.477611940298506,1.4925373134328357,3.9800995024875614,0.4975124378109453,0.0,1.9900497512437807,3.4825870646766166,0.9950248756218906,3.4825870646766166,0.9950248756218906,0.9950248756218906,3.4825870646766166,4.975124378109453,1.4925373134328357,0.0
nh0004_2,2,77.61194029850745,22.388059701492534,19.900497512437813,80.09950248756219,6.965174129353233,2.4875621890547266,15.422885572139304,4.477611940298506,62.18905472636816,17.910447761194032,36.81592039800995,63.18407960199005,16.91542288557214,5.970149253731343,24.875621890547265,11.940298507462686,52.73631840796021,10.44776119402985,13.432835820895527,6.467661691542287,1.9900497512437807,2.4875621890547266,0.4975124378109453,0.0,5.472636815920398,3.9800995024875614,10.945273631840797,2.4875621890547266,4.477611940298506,1.9900497512437807,1.9900497512437807,0.0,1.4925373134328357,0.9950248756218906,0.4975124378109453,0.0,0.0,0.0,2.985074626865672,2.4875621890547266,3.9800995024875614,0.0
nh0004_3,3,57.21393034825871,42.78606965174129,26.368159203980106,73.6318407960199,8.45771144278607,3.4825870646766166,10.945273631840797,15.422885572139304,46.2686567164179,27.363184079601982,40.796019900497505,59.203980099502495,17.412935323383085,7.4626865671641776,16.91542288557214,23.88059701492537,40.29850746268657,18.905472636815922,24.37810945273632,6.965174129353233,0.9950248756218906,3.4825870646766166,1.4925373134328357,0.9950248756218906,4.477611940298506,1.9900497512437807,10.945273631840797,13.432835820895527,4.477611940298506,2.4875621890547266,0.4975124378109453,0.4975124378109453,2.4875621890547266,0.9950248756218906,0.4975124378109453,0.9950248756218906,0.0,0.9950248756218906,0.4975124378109453,3.9800995024875614,0.9950248756218906,0.9950248756218906
nh0004_4,4,33.33333333333333,66.66666666666666,26.865671641791053,73.13432835820895,7.960199004975125,1.9900497512437807,2.4875621890547266,24.37810945273632,30.845771144278608,42.288557213930346,51.7412935323383,48.2587064676617,10.44776119402985,15.422885572139304,7.4626865671641776,44.278606965174134,25.87064676616915,22.388059701492534,8.955223880597012,9.452736318407961,1.4925373134328357,3.4825870646766166,3.4825870646766166,0.4975124378109453,4.975124378109453,2.4875621890547266,1.9900497512437807,6.965174129353233,3.4825870646766166,5.970149253731343,0.4975124378109453,0.9950248756218906,0.4975124378109453,2.985074626865672,0.4975124378109453,2.985074626865672,0.0,0.4975124378109453,1.9900497512437807,2.985074626865672,0.0,2.4875621890547266
nh0004_5,5,39.40886699507389,60.59113300492611,19.70443349753695,80.29556650246306,2.4630541871921183,2.955665024630542,4.433497536945813,15.270935960591133,34.97536945812808,45.320197044334975,41.379310344827594,58.620689655172406,13.300492610837441,13.300492610837441,7.389162561576356,33.99014778325123,32.01970443349754,26.600985221674883,15.270935960591133,6.896551724137932,0.4926108374384237,3.940886699507389,1.9704433497536944,0.4926108374384237,6.896551724137932,2.4630541871921183,4.433497536945813,10.83743842364532,1.477832512315271,5.41871921182266,0.0,0.4926108374384237,0.9852216748768472,2.955665024630542,0.0,1.9704433497536944,0.0,0.4926108374384237,0.4926108374384237,6.403940886699507,1.9704433497536944,0.4926108374384237
nh0005_1,1,39.473684210526315,60.526315789473685,59.649122807017534,40.35087719298245,24.561403508771928,5.263157894736842,16.666666666666664,42.982456140350884,22.807017543859647,17.543859649122805,71.9298245614035,28.070175438596486,42.982456140350884,6.140350877192982,23.684210526315788,48.24561403508772,15.789473684210524,12.280701754385964,25.438596491228072,0.8771929824561403,5.263157894736842,8.771929824561402,0.0,1.7543859649122806,4.385964912280701,2.631578947368421,12.280701754385964,13.157894736842106,0.0,0.8771929824561403,0.0,5.263157894736842,1.7543859649122806,7.0175438596491215,0.0,0.0,1.7543859649122806,0.0,0.0,4.385964912280701,0.8771929824561403,1.7543859649122806
nh0005_2,2,52.631578947368425,47.368421052631575,48.24561403508772,51.75438596491229,20.175438596491226,6.140350877192982,21.052631578947366,27.192982456140356,31.578947368421048,20.175438596491226,64.03508771929825,35.96491228070175,42.982456140350884,4.385964912280701,28.947368421052637,35.08771929824561,23.684210526315788,12.280701754385964,26.315789473684212,1.7543859649122806,4.385964912280701,10.526315789473683,0.8771929824561403,2.631578947368421,5.263157894736842,0.0,14.912280701754383,11.403508771929824,0.0,1.7543859649122806,1.7543859649122806,2.631578947368421,4.385964912280701,6.140350877192982,0.8771929824561403,0.0,1.7543859649122806,0.8771929824561403,0.8771929824561403,4.385964912280701,0.0,0.0
nh0005_3,3,25.438596491228072,74.56140350877193,37.719298245614034,62.280701754385966,14.912280701754383,0.8771929824561403,13.157894736842106,24.561403508771928,12.280701754385964,50.0,57.017543859649116,42.982456140350884,36.84210526315789,5.263157894736842,15.789473684210524,41.2280701754386,9.649122807017543,33.33333333333333,18.421052631578945,0.0,7.894736842105262,5.263157894736842,0.0,2.631578947368421,9.649122807017543,0.8771929824561403,4.385964912280701,14.035087719298243,0.0,0.0,0.8771929824561403,7.0175438596491215,1.7543859649122806,3.5087719298245608,0.0,0.0,0.0,2.631578947368421,0.8771929824561403,8.771929824561402,0.0,0.8771929824561403
nh0005_4,4,31.578947368421048,68.42105263157895,49.122807017543856,50.877192982456144,16.666666666666664,3.5087719298245608,13.157894736842106,35.96491228070175,18.421052631578945,32.45614035087719,73.68421052631578,26.315789473684212,32.45614035087719,13.157894736842106,23.684210526315788,50.0,7.894736842105262,18.421052631578945,19.298245614035086,5.263157894736842,6.140350877192982,7.894736842105262,2.631578947368421,2.631578947368421,8.771929824561402,0.8771929824561403,7.894736842105262,11.403508771929824,2.631578947368421,2.631578947368421,0.0,6.140350877192982,1.7543859649122806,6.140350877192982,0.0,2.631578947368421,1.7543859649122806,0.8771929824561403,1.7543859649122806,7.0175438596491215,0.0,0.8771929824561403
nh0005_5,5,47.45762711864407,52.54237288135593,38.983050847457626,61.016949152542374,14.406779661016948,6.779661016949151,13.559322033898303,25.423728813559322,33.89830508474576,27.118644067796605,68.64406779661016,31.355932203389827,24.576271186440678,9.322033898305083,29.66101694915254,38.983050847457626,17.796610169491522,13.559322033898303,11.016949152542374,5.084745762711865,3.3898305084745757,11.864406779661017,1.6949152542372878,1.6949152542372878,5.084745762711865,0.0,4.23728813559322,6.779661016949151,2.5423728813559325,2.5423728813559325,0.0,3.3898305084745757,5.932203389830509,5.932203389830509,0.8474576271186439,0.8474576271186439,1.6949152542372878,0.0,3.3898305084745757,1.6949152542372878,0.0,0.0
nh0006_1,1,38.27956989247311,61.72043010752689,41.935483870967744,58.064516129032256,19.354838709677423,3.2258064516129035,13.548387096774194,28.387096774193548,24.731182795698924,33.33333333333333,58.064516129032256,41.935483870967744,32.25806451612903,8.38709677419355,17.20430107526882,40.86021505376344,21.0752688172043,20.860215053763444,15.483870967741936,5.806451612903227,7.096774193548387,6.021505376344086,1.5053763440860215,1.0752688172043012,5.591397849462366,0.6451612903225806,4.946236559139785,10.53763440860215,1.7204301075268815,4.086021505376344,2.1505376344086025,4.946236559139785,2.1505376344086025,3.870967741935484,0.4301075268817205,1.0752688172043012,0.4301075268817205,0.6451612903225806,2.1505376344086025,3.4408602150537635,0.0,0.6451612903225806
nh0006_2,2,58.494623655913976,41.505376344086024,35.483870967741936,64.51612903225806,16.559139784946233,2.1505376344086025,15.483870967741936,20.0,43.01075268817203,21.505376344086017,53.33333333333334,46.66666666666666,30.10752688172043,5.806451612903227,26.021505376344084,27.31182795698925,32.473118279569896,14.193548387096774,8.60215053763441,3.870967741935484,10.10752688172043,4.946236559139785,1.0752688172043012,0.6451612903225806,6.666666666666668,0.4301075268817205,4.086021505376344,4.516129032258063,2.5806451612903225,1.2903225806451613,5.806451612903227,4.301075268817205,3.2258064516129035,1.7204301075268815,0.6451612903225806,0.4301075268817205,0.6451612903225806,0.0,2.5806451612903225,4.086021505376344,0.21505376344086025,0.21505376344086025
nh0006_3,3,62.365591397849464,37.63440860215053,29.46236559139785,70.53763440860214,12.688172043010757,3.6559139784946235,16.989247311827956,12.473118279569892,45.3763440860215,25.161290322580644,45.59139784946237,54.40860215053763,20.43010752688172,10.752688172043008,26.23655913978495,19.354838709677423,36.129032258064505,18.27956989247312,10.967741935483874,4.301075268817205,7.526881720430107,10.322580645161288,1.5053763440860215,1.0752688172043012,4.516129032258063,1.0752688172043012,7.526881720430107,3.4408602150537635,2.5806451612903225,1.7204301075268815,3.4408602150537635,4.086021505376344,6.021505376344086,4.301075268817205,1.2903225806451613,0.21505376344086025,0.8602150537634409,0.21505376344086025,2.1505376344086025,2.3655913978494625,0.4301075268817205,0.6451612903225806
nh0006_4,4,64.08602150537635,35.913978494623656,16.7741935483871,83.2258064516129,4.946236559139785,2.5806451612903225,10.53763440860215,6.236559139784946,53.548387096774206,29.677419354838708,46.23655913978494,53.76344086021504,17.419354838709676,10.10752688172043,27.741935483870968,18.494623655913976,36.344086021505376,17.419354838709676,23.655913978494624,4.086021505376344,0.0,4.516129032258063,0.8602150537634409,1.2903225806451613,7.311827956989247,0.21505376344086025,15.268817204301074,8.38709677419355,2.3655913978494625,1.7204301075268815,0.0,0.0,2.5806451612903225,1.935483870967742,0.6451612903225806,0.21505376344086025,1.0752688172043012,0.21505376344086025,4.516129032258063,2.795698924731183,0.21505376344086025,0.0
nh0006_5,5,30.49040511727079,69.5095948827292,24.520255863539443,75.47974413646054,5.756929637526653,3.8379530916844353,5.3304904051172715,19.189765458422176,25.15991471215352,50.31982942430704,54.58422174840085,45.41577825159915,19.189765458422176,14.285714285714285,12.793176972281449,41.7910447761194,17.69722814498934,27.718550106609808,18.763326226012797,6.183368869936035,2.1321961620469083,8.528784648187633,2.345415778251599,2.345415778251599,3.8379530916844353,0.4264392324093816,4.264392324093817,14.498933901918974,1.279317697228145,4.904051172707889,0.4264392324093816,1.7057569296375266,1.7057569296375266,6.823027718550106,0.8528784648187633,1.4925373134328357,0.6396588486140725,1.7057569296375266,1.4925373134328357,2.345415778251599,0.2132196162046908,0.2132196162046908
nh0007_1,1,69.84924623115577,30.15075376884422,33.91959798994975,66.08040201005025,7.035175879396986,4.773869346733668,20.854271356783922,13.06532663316583,48.99497487437186,17.08542713567839,50.753768844221106,49.246231155778894,14.070351758793972,14.572864321608037,30.90452261306533,19.849246231155774,38.944723618090464,10.301507537688444,10.050251256281408,7.035175879396986,1.507537688442211,8.040201005025125,0.7537688442211055,1.507537688442211,7.537688442211055,0.25125628140703515,6.78391959798995,3.266331658291457,5.276381909547738,1.7587939698492463,1.256281407035176,0.25125628140703515,6.281407035175879,1.7587939698492463,0.0,0.7537688442211055,1.0050251256281406,0.5025125628140703,5.025125628140704,2.512562814070352,0.0,0.25125628140703515
nh0007_2,2,49.497487437185924,50.502512562814076,37.68844221105528,62.31155778894473,9.045226130653267,7.7889447236180915,13.06532663316583,24.623115577889447,36.4321608040201,25.879396984924625,54.52261306532663,45.47738693467337,15.829145728643216,17.839195979899497,21.356783919597987,33.165829145728644,28.140703517587944,17.336683417085432,10.552763819095476,6.281407035175879,2.7638190954773867,10.804020100502512,1.0050251256281406,1.507537688442211,7.2864321608040195,2.261306532663317,5.778894472361809,4.773869346733668,2.261306532663317,4.0201005025125625,0.7537688442211055,2.010050251256281,6.532663316582915,4.271356783919598,0.25125628140703515,0.7537688442211055,0.7537688442211055,0.7537688442211055,2.512562814070352,4.773869346733668,0.7537688442211055,1.507537688442211
nh0007_3,3,45.226130653266324,54.773869346733676,39.949748743718594,60.050251256281406,10.301507537688444,5.025125628140704,12.311557788944723,27.63819095477387,32.914572864321606,27.1356783919598,64.321608040201,35.678391959798994,24.874371859296478,17.336683417085432,25.376884422110553,38.944723618090464,19.849246231155774,15.829145728643216,18.84422110552764,9.798994974874372,5.025125628140704,7.537688442211055,1.0050251256281406,1.7587939698492463,5.025125628140704,0.25125628140703515,11.557788944723619,7.2864321608040195,4.0201005025125625,5.778894472361809,1.256281407035176,3.7688442211055273,2.7638190954773867,4.773869346733668,0.25125628140703515,0.7537688442211055,1.256281407035176,0.5025125628140703,0.5025125628140703,4.522613065326634,0.0,0.25125628140703515
nh0007_4,4,46.231155778894475,53.768844221105525,33.91959798994975,66.08040201005025,8.793969849246231,5.025125628140704,11.306532663316586,22.613065326633173,34.92462311557789,31.155778894472366,52.76381909547738,47.23618090452261,17.839195979899497,17.336683417085432,15.829145728643216,36.934673366834176,30.402010050251256,16.834170854271356,5.276381909547738,8.291457286432161,3.266331658291457,8.040201005025125,1.7587939698492463,1.7587939698492463,4.773869346733668,1.0050251256281406,1.507537688442211,3.7688442211055273,3.7688442211055273,4.522613065326634,0.5025125628140703,2.7638190954773867,4.271356783919598,3.7688442211055273,0.7537688442211055,1.0050251256281406,0.5025125628140703,1.256281407035176,0.7537688442211055,4.0201005025125625,0.5025125628140703,0.5025125628140703
nh0007_5,5,39.19597989949749,60.80402010050251,25.62814070351759,74.37185929648241,5.527638190954773,6.030150753768844,5.778894472361809,19.849246231155774,33.417085427135675,40.95477386934673,52.01005025125628,47.98994974874372,14.070351758793972,18.341708542713565,15.57788944723618,36.4321608040201,23.618090452261306,24.37185929648241,12.060301507537687,8.542713567839195,1.507537688442211,6.532663316582915,2.512562814070352,0.7537688442211055,6.030150753768844,0.5025125628140703,4.271356783919598,7.7889447236180915,1.7587939698492463,6.78391959798995,0.0,1.507537688442211,2.7638190954773867,3.7688442211055273,0.5025125628140703,2.010050251256281,0.7537688442211055,0.0,2.7638190954773867,3.266331658291457,0.25125628140703515,0.25125628140703515
nh0008_1,1,40.38054968287528,59.61945031712473,24.10147991543341,75.8985200845666,5.708245243128964,2.5369978858350954,3.382663847780127,20.718816067653275,36.99788583509514,38.90063424947146,40.80338266384778,59.19661733615222,11.20507399577167,11.416490486257928,7.610993657505285,33.19238900634249,32.76955602536998,26.427061310782236,10.359408033826638,3.171247357293869,1.6913319238900637,5.496828752642706,2.5369978858350954,1.9027484143763211,5.9196617336152215,1.0570824524312896,1.9027484143763211,8.456659619450317,1.2684989429175475,1.9027484143763211,0.21141649048625796,1.4799154334038054,2.1141649048625792,3.382663847780127,0.8456659619450317,1.6913319238900637,0.8456659619450317,1.0570824524312896,0.21141649048625796,5.708245243128964,0.4228329809725159,0.6342494714587738
