wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0	25	0.0	26.334165256406443				-25	-618.2682961943409	187.45499892538618	-594.1787564575875			-688.0	-229.72005956624915	-688.0	-59.760736213386224		
abadía	0	1	0.0	0.4985044865403788				-1	-462.2919414036969	188.17101362341913	-425.05344769958094			-688.0	-688.0	-688.0	-59.64974721838161		
abajo	123	319	79.37136464631601	202.4828214933874				-196	-284.3072019595117	184.77289360468308	-296.84695761361536			-687.9999999999583	-227.47010067942378	-687.9999999999918	-59.730596776132735		
abalanzar	5	17	2.4878899793471567	8.539206309178368				-12	-297.4007280460934	188.01712187934402	-309.4408140582735			-687.9999999999682	-227.7343678155457	-687.999999999994	-59.73595967621903		
abanderado	1	1	0.49407114624505927	0.5065856129685917				0	-237.9925693337703	188.18448244855915	-257.7773743770903			-687.9999999998917	-227.30591916761574	-687.9999999999797	-59.72771364860522		
abanderar	1	0	0.49800796812749004	0.0				1	-13.6931972638437	188.1986311699828	-88.44180801248552			-677.17073170721	-228.3013348289796	-686.9626827025597	-59.739735478135316		
abandonar	257	283	152.59827753597227	173.26038006630202				-26	-242.67611137930868	187.61219561240773	-262.16690197587496			-687.9999999999017	-227.32287407705573	-687.9999999999817	-59.72854783587397		
abandono	46	68	23.76957140497539	35.04064582992283				-22	-256.98563671409175	187.8724604538217	-273.34851249865505			-687.9999999999268	-227.39790909711	-687.9999999999859	-59.72968840872068		
abanicar	1	1	0.49504950495049505	0.4854368932038835				0	-237.9925693337703	188.18509568286154	-255.90340311005838			-687.9999999998917	-227.30591916761574	-687.9999999999787	-59.72858469181634		
abanico	20	45	11.52204845295268	27.150499888794535				-25	-277.39107577273427	187.7516992310892	-293.427755670077			-687.9999999999519	-227.5174297653006	-687.9999999999911	-59.73171940692179		
abar	0	1	0.0	0.4926108374384236				-1	-462.2919414036969	188.17117696119553	-424.55398636442465			-688.0	-688.0	-688.0	-59.6513058249962		
abarcar	10	29	4.970659730408511	15.807102527116298				-19	-289.7067321285078	187.88450592216958	-306.23344779098534			-687.9999999999627	-227.6197574063149	-687.9999999999934	-59.7338677470971		
abarrotar	0	2	0.0	0.9847769293578924				-2	-495.7383760645472	188.15753697115127	-453.80323832980275			-688.0	-234.8511836239977	-688.0	-47.8640096951204		
abarrote	0	1	0.0	0.4926108374384236				-1	-462.2919414036969	188.17117696119553	-424.55398636442465			-688.0	-688.0	-688.0	-59.6513058249962		
abastecer	0	3	0.0	1.4784447586766583				-3	-515.363711440618	188.14385536165474	-471.0677590542379			-688.0	-232.45020855779734	-688.0	-59.8981104219844		
abastecimiento	1	2	0.4955401387512388	0.9861971304970277				-1	-271.4390039946206	188.17123111046797	-285.78810141911663			-687.9999999999459	-228.28503187497714	-687.9999999999895	-57.323607008449514		
abasto	4	0	1.9818222399759369	0.0				4	53.31981989857081	188.23975389710245	-29.90459945198765			-644.6829268291652	-228.59873114437326	-683.8719967921847	-59.74374278508969		
abate	2	1	0.9833992156013335	0.9671179883945842				1	-204.54613467291998	188.18528049821145	-256.0187059471114			-687.9999999997834	-158.60945189263327	-687.9999999999789	-59.73785753330235		
abatimiento	7	19	3.45990581576112	10.350459380230825				-12	-286.47823964323567	187.9938630898557	-303.5917138909007			-687.9999999999601	-227.64239613359157	-687.9999999999931	-59.73453445834826		
abatir	25	34	12.902557344809098	16.784092338065243				-9	-252.9314823518047	188.07725563564094	-267.9870847111211			-687.9999999999204	-227.3924913105309	-687.999999999984	-59.72947350774704		
abdicar	1	4	0.4935834155972359	2.013914732367763				-3	-305.00558649618483	188.1426945091605	-316.3234882412512			-687.9999999999729	-228.29207216478864	-687.9999999999949	-59.754864027764704		
abdomen	2	4	0.9955322455322455	1.9769904077109446				-2	-271.55915183533455	188.15762894813227	-285.9074808175298			-687.9999999999459	-227.7998797045446	-687.9999999999895	-59.74161331290265		
abdul	0	6	0.0	3.9312941780847623				-6	-548.9705428685456	188.07587659958622	-512.7876386652624			-688.0	-230.84971396852006	-688.0	-59.78707385983535		
abecedario	0	3	0.0	1.4860376130483617				-3	-515.363711440618	188.1436449317618	-471.2857559763411			-688.0	-232.45020855779734	-688.0	-59.89613499500765		
abedul	0	1	0.0	0.484027105517909				-1	-462.2919414036969	188.17141485246813	-423.8159753562492			-688.0	-688.0	-688.0	-59.65351451181067		
abeja	2	11	0.9828202062038895	6.022615027376268				-9	-320.646757603804	188.04515538984828	-334.032645785565			-687.9999999999803	-228.0101129816665	-687.9999999999966	-59.741775993691306		
abejorro	0	1	0.0	0.4965243296921549				-1	-462.2919414036969	188.17106850188424	-424.8862866290824			-688.0	-688.0	-688.0	-59.65027480533838		
abelardo	1	1	0.48638132295719844	0.4965243296921549				0	-237.9925693337703	188.18454817167816	-257.59333308760574			-687.9999999998917	-227.30591916761574	-687.9999999999797	-59.72781345104937		
aberración	8	10	3.9625078965449854	5.57194386374207				-2	-248.82542763699155	188.14022504495995	-271.2994138054465			-687.9999999999134	-227.40202748928357	-687.9999999999852	-59.73088687247153		
abertura	8	8	3.9469380149650877	3.958985206597988				0	-237.9925693337703	188.18449539871497	-256.8569424823589			-687.9999999998917	-227.30591916761574	-687.9999999999792	-59.72824491214989		
abierto	204	256	120.008322937532	144.69154915131514				-52	-249.0272996600503	187.50075338201123	-264.7396454335718			-687.9999999999137	-227.34658833795402	-687.9999999999827	-59.72872292793533		
