wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0	19	0.0	13.163383956351757				-19	-351.1979103580963	128.42587728333046	-332.2651309061275			-392.0	-120.81548965774728	-392.0	103.06824390121383		
abadía	0	1	0.0	0.24937655860349126				-1	-262.2026993841343	128.85835882675323	-225.02289201533353			-392.0	-392.0	-392.0	103.07813957652849		
abajo	110	266	40.12511014314158	99.62785209806441				-156	-149.03660035501946	126.87400291535256	-160.9560111200645			-391.99999999995634	-119.40115822845411	-391.99999999999	103.07317120031568		
abalanzar	5	17	1.2449308653253393	4.566240106102243				-12	-159.32793819329152	128.75548183847545	-171.45468375945003			-391.99999999996896	-119.56178986214705	-391.99999999999324	103.07192807331484		
abanderado	1	1	0.24703557312252963	0.24875621890547261				0	-122.26350027770928	128.8666526590328	-136.31066555126762			-391.9999999998944	-119.30818460766817	-391.9999999999754	103.07355673036987		
abanderar	1	0	0.24962556165751376	0.0				1	17.675698828715724	128.87507007683192	-47.20789741272026			-381.4399999998965	-119.89738623855699	-391.38121516471506	103.07220125407484		
abandonar	216	244	77.07433462175739	86.64884992629501				-28	-125.95926942871868	128.54606611440923	-139.3252530407791			-391.9999999999065	-119.32122026126913	-391.99999999997794	103.07349739058552		
abandono	44	62	12.141937944678498	17.36348752311057				-18	-132.66023464337331	128.6918440497712	-145.8885882725295			-391.9999999999251	-119.35702752630115	-391.99999999998266	103.07330901037949		
abanicar	1	1	0.24752475247524752	0.24354603019970775				0	-122.26350027770928	128.86684352708937	-135.7033546137991			-391.9999999998944	-119.30818460766817	-391.9999999999748	103.07352573754497		
abanico	18	42	5.733867469230856	13.148107020759557				-24	-147.94555474058635	128.6184123167231	-158.76114907107404			-391.99999999995475	-119.44140522192754	-391.9999999999892	103.07293508514869		
abar	0	1	0.0	0.2477700693756194				-1	-262.2026993841343	128.85841262701206	-224.85325286695786			-392.0	-392.0	-392.0	103.0781098076508		
abarcar	10	29	2.488810787382837	8.158528342430973				-19	-154.52769458717313	128.67683520145093	-168.46968784612943			-391.99999999996356	-119.49395022222909	-391.99999999999244	103.07247386127555		
abarrotar	0	2	0.0	0.49278247884519655				-2	-283.0697541431891	128.85020732390657	-243.0949529489917			-392.0	-123.77434110464003	-392.0	103.08439229971798		
abarrote	0	1	0.0	0.2469135802469136				-1	-262.2026993841343	128.858441310265	-224.76237828000072			-392.0	-392.0	-392.0	103.07809397261474		
abastecer	0	3	0.0	0.7389671940821001				-3	-295.31389771513875	128.84196276105837	-253.97672994093858			-392.0	-122.35316753902586	-392.0	103.10196902005276		
abastecimiento	1	2	0.24715768660405335	0.49200852282217544				-1	-143.1305550367641	128.85851039019454	-154.39307530874837			-391.9999999999472	-119.8877362727594	-391.99999999998755	103.07539498001626		
abasto	4	0	0.9907411018444672	0.0				4	59.48476795303691	128.89988954477883	-10.367456508145835			-349.75999999990285	-120.07341962928162	-389.5440993885972	103.07164356260967		
abate	2	1	0.4914688494484802	0.4847309743092584				1	-101.39644551865449	128.86693592928896	-135.75913981022154			-391.9999999997888	-78.64570346962518	-391.9999999999749	103.07351074759208		
abatimiento	7	19	1.7341010816043259	5.180763439971753				-12	-152.5134550975983	128.7512838456992	-165.90766461460365			-391.9999999999611	-119.50735042834438	-391.9999999999917	103.07228677104204		
abatir	25	33	6.713813106992166	8.408041518476745				-8	-130.6788813345977	128.80997169639892	-142.2643587818141			-391.99999999992	-119.35484752890129	-391.9999999999802	103.07334654986629		
abdicar	1	4	0.24679170779861795	1.0058057946718806				-3	-164.0725694020305	128.84129140391354	-173.67656715882			-391.9999999999736	-119.89190352710335	-391.9999999999939	102.9066321044755		
abdomen	2	3	0.49631752104300075	0.7462789862892423				-1	-134.50764384965893	128.85833923861765	-147.0842333346204			-391.9999999999296	-119.52363171867039	-391.9999999999835	103.07628144452295		
abdul	0	4	0.0	1.963827067239954				-4	-304.0117685084555	128.80094301621045	-280.4355076323228			-392.0	-121.84567001365517	-392.0	103.05875251289885		
abecedario	0	3	0.0	0.7418039561324655				-3	-295.31389771513875	128.8418677597786	-254.07995128721018			-392.0	-122.35316753902586	-392.0	103.1023708766263		
abedul	0	1	0.0	0.24283632831471588				-1	-262.2026993841343	128.85857785472822	-224.32558070512013			-392.0	-392.0	-392.0	103.07801892972115		
abeja	2	11	0.4918935554927549	3.3060361469645074				-9	-173.8310138313997	128.77246651321727	-187.68270690976738			-391.9999999999808	-119.72500760915887	-391.9999999999963	103.0705492569614		
abejorro	0	1	0.0	0.24888003982080636				-1	-262.2026993841343	128.85837545483798	-224.97057396629242			-392.0	-392.0	-392.0	103.07813036638098		
abelardo	1	1	0.24354603019970775	0.2472799208704253				0	-122.26350027770928	128.86658523679668	-136.5276636874316			-391.9999999998944	-119.30818460766817	-391.9999999999756	103.0735678337749		
aberración	8	10	1.9809277112778867	3.3658667493805012				-2	-129.02206362541926	128.82032959239856	-150.54655228293936			-391.99999999991553	-119.36507258127217	-391.9999999999854	103.07272119320717		
abertura	8	8	1.9736187799244946	1.9828733254320259				0	-122.26350027770928	128.86640035372739	-136.25558600464527			-391.9999999998944	-119.30818460766817	-391.99999999997533	103.07353448780381		
abierto	182	226	60.1229173812299	73.03843176994462				-44	-128.82872465032392	128.43417827076817	-141.440957182961			-391.99999999991496	-119.33166871819667	-391.9999999999796	103.07346103040825		
abismo	46	91	14.526105198112115	27.361198872124685				-45	-142.94638697918	128.43687150717003	-153.40815902163945			-391.9999999999466	-119.39708660400319	-391.9999999999868	103.07318334662108		
ablandar	7	5	1.737149742090492	1.2286705439577486				2	-112.07832163877859	128.88373891345057	-126.7372706415915			-391.99999999985215	-119.18563106997809	-391.9999999999649	103.07660609215013		
abnegación	17	41	4.697924762676266	12.475194191352955				-24	-148.94720842793316	128.60625468689202	-162.75824724981427			-391.99999999995623	-119.44749901980853	-391.9999999999907	103.07281197763339		
abnegado	7	1	1.7370495723133632	0.24378352023403216				6	-63.518244123636265	128.91671877209706	-83.45304044835075			-391.9999999992608	-4.834537133389972	-391.9999999998234	103.0708694074229		
abnegar	7	2	1.7256186770383337	0.49248980336304693				5	-84.38529888269107	128.9080069505104	-102.28365409535516			-391.9999999996304	-118.25617343778242	-391.99999999991314	103.07011882688126		
abocar	1	10	0.2477700693756194	2.725534082831266				-9	-191.81083724592003	128.78373160871504	-200.62156234077128			-391.9999999999894	-119.89357633459728	-391.9999999999977	103.06907958573706		
abogadillo	0	2	0.0	0.49200494982396753				-2	-283.0697541431891	128.85023336283786	-243.05269552023634			-392.0	-123.77434110464003	-392.0	103.08436366991009		
abogado	11	37	3.4547866323815053	11.386112225768384				-26	-159.0252863960391	128.60109544810305	-168.63753762617392			-391.9999999999686	-119.50557078136985	-391.9999999999925	103.07261595309767		
abogar	9	18	2.4742311634165324	4.701992939632817				-9	-143.26420474208484	128.7921040178434	-153.60726096423025			-391.9999999999472	-119.44903788443267	-391.999999999987	103.07276126321477		
