wordlist	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
abad	0	11	0.0	5.26920412935753				-11	-177.58568120792808	66.27744856386248	-171.14146735527686			-207.0	-55.98567715358404	-207.0	36.282108482667084		
abadía	0	1	0.0	0.09924573243350536				-1	-138.35262041270596	66.49013059076199	-110.09954115671766			-207.0	-207.0	-207.0	36.28532094480471		
abajo	91	192	17.0472371005309	42.7237466915967				-101	-74.81806140875901	65.43793173298513	-86.91956099739852			-206.99999999995896	-55.07552818124295	-206.99999999998704	36.28444326829285		
abalanzar	5	17	0.4979294479370116	1.9301919946615318				-12	-82.6321011342867	66.43529287328187	-93.55882003323322			-206.99999999997453	-55.170335018263984	-206.99999999999162	36.28326539034879		
abanderado	1	1	0.09867771857114664	0.09889240506329114				0	-62.55672303850932	66.49420453526207	-72.49400333313014			-206.99999999991343	-55.0290009491345	-206.99999999996757	36.28460593644628		
abanderar	1	0	0.09867771857114664	0.0				1	13.23917433568731	66.49827277634624	-34.90839330824877			-198.34374999991616	-55.357362694644706	-206.67925704161203	36.28426203881735		
abandonar	145	180	31.9272834781932	37.661287863256504				-35	-66.10761799843333	66.25832758591694	-75.06213281576139			-206.99999999993028	-55.04264272803386	-206.99999999997243	36.28457519365003		
abandono	39	58	4.966780101613188	7.022782640055043				-19	-69.07347895740209	66.40963342391846	-77.90611418014569			-206.9999999999418	-55.06101879706459	-206.999999999977	36.28448786910925		
abanicar	1	1	0.09936406995230525	0.0969743987587277				0	-62.55672303850932	66.49431167346877	-72.11517839790567			-206.99999999991343	-55.0290009491345	-206.9999999999667	36.28459879672835		
abanico	17	40	2.4129745832080043	5.959502237227916				-23	-76.60410366928717	66.34831612145925	-86.65595281377234			-206.99999999996322	-55.10496777834506	-206.99999999998684	36.284270921648776		
abar	0	1	0.0	0.09852216748768473				-1	-138.35262041270596	66.4901603568157	-109.9949383308749			-207.0	-207.0	-207.0	36.285316820618334		
abarcar	9	26	0.9935801464523585	3.277734665469435				-17	-79.96790823263424	66.40024769545714	-91.14142481980156			-206.99999999997004	-55.13560302756069	-206.99999999999014	36.28394466983299		
abarrotar	0	2	0.0	0.19759781033046506				-2	-149.65493706964355	66.48608457768587	-120.20521115029835			-207.0	-57.51798751364073	-207.0	36.28588377173265		
abarrote	0	1	0.0	0.09865824782951854				-1	-138.35262041270596	66.49015475873526	-110.01466405487923			-207.0	-207.0	-207.0	36.28531759645708		
