,idno,author-country,availability,narrative-perspective,narrator,protagonist-gender,setting-type,protagonist-age,protagonist-social-level,representation,setting-continent,setting-continent_binary,setting-country,setting-country_binary,setting-name,setting-territory,time-period,protagonist-profession,type-end_comp,type-end,keywords-cert,setting-type
ne0001,ne0001,Spain,restricted,homodiegetic,third-person,male,rural,mature,high,realistic,Europe,Europe,Spain,Spain,Labraz,País Vasco,contemporary,lord,positive,positive,high,land
ne0002,ne0002,Spain,free,heterodiegetic,third-person,female,big-city,adult,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,beggar,negative,negative,medium,land
ne0003,ne0003,Spain,free,homodiegetic,third-person,male,mixed,adult,low,realistic,Europe,Europe,Spain,Spain,mixed,Castilla,contemporary,religious,positive,positive,high,land
ne0004,ne0004,Spain,free,homodiegetic,third-person,mixed,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,lord,positive,positive,medium,land
ne0005,ne0005,Spain,free,heterodiegetic,third-person,female,big-city,young,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,housewife,partial positive,positive,medium,land
ne0006,ne0006,Spain,free,heterodiegetic,third-person,male,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Toledo,Castilla,contemporary,lord,negative,negative,medium,land
ne0007,ne0007,Spain,free,heterodiegetic,third-person,female,big-city,mature,high,realistic,Europe,Europe,Spain,Spain,Z,Castilla,contemporary,lord,negative,negative,high,land
ne0009,ne0009,Spain,free,heterodiegetic,third-person,female,big-city,young,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,none,negative,negative,medium,land
ne0011,ne0011,Spain,free,autodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,teacher,negative,negative,medium,land
ne0013,ne0013,Spain,free,autodiegetic,first-person,male,rural,mature,high,realistic,Europe,Europe,Spain,Spain,Brandeso,Galicia,contemporary,lord,negative,negative,high,land
ne0014,ne0014,Spain,free,autodiegetic,first-person,male,rural,adult,high,realistic,America,not_Europe,Mexico,not_Spain,mixed,Costa de México,contemporary,lord,negative,negative,high,land
ne0016,ne0016,Spain,free,autodiegetic,first-person,male,rural,adult,high,realistic,Europe,Europe,Italy,not_Spain,Ligura,Liguria,contemporary,lord,negative,negative,high,land
ne0017,ne0017,Spain,free,heterodiegetic,third-person,female,rural,young,low,realistic,Europe,Europe,Spain,Spain,Brandeso,Galicia,modern_times,beggar,negative,negative,high,land
ne0018,ne0018,Spain,free,autodiegetic,first-person,male,rural,mature,high,realistic,Europe,Europe,Spain,Spain,Estella,Navarra,contemporary,lord,negative,negative,high,land
ne0019,ne0019,Spain,free,heterodiegetic,third-person,male,small-city,adult,low,realistic,Europe,Europe,Spain,Spain,Jerez,Andalucía,contemporary,worker,partial negative,negative,medium,land
ne0020,ne0020,Spain,free,heterodiegetic,third-person,male,rural,mature,high,realistic,Europe,Europe,Spain,Spain,Viana del Prior,Galicia,contemporary,lord,partial negative,negative,high,land
ne0021,ne0021,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Otaín,Navarra,contemporary,military personnel,negative,negative,high,land
ne0024,ne0024,Spain,free,heterodiegetic,third-person,male,big-city,young,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,servant,negative,negative,medium,land
ne0027,ne0027,Spain,free,heterodiegetic,third-person,female,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,housewife,negative,negative,medium,land
ne0028,ne0028,Spain,free,homodiegetic,third-person,female,big-city,young,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,servant,partial positive,positive,medium,land
ne0029,ne0029,Spain,free,autodiegetic,first-person,male,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,negative,negative,medium,land
ne0030,ne0030,Spain,free,heterodiegetic,third-person,male,rural,mature,high,realistic,America,not_Europe,Santa Fe de Tierra,not_Spain,Santa Mónica,Santa Mónica,contemporary,politician,positive,positive,medium,land
ne0031,ne0031,Spain,free,heterodiegetic,third-person,male,big-city,mature,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,none,negative,negative,medium,land
ne0032,ne0032,Spain,free,epistolary,second-person,male,big-city,adult,medium,non-realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,politician,neutral,neutral,medium,land
ne0033,ne0033,Spain,free,heterodiegetic,third-person,male,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,lord,partial negative,negative,medium,land
ne0034,ne0034,Spain,free,homodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,negative,negative,high,land
ne0035,ne0035,Spain,free,heterodiegetic,third-person,male,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,lord,partial negative,negative,medium,n.av.
ne0037,ne0037,Spain,free,heterodiegetic,third-person,other,rural,adult,low,realistic,Europe,Europe,France,not_Spain,mixed,mixed,contemporary,military personnel,negative,negative,high,land
ne0039,ne0039,Spain,free,homodiegetic,third-person,other,mixed,mature,medium,non-realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,public servant,positive,positive,medium,land
ne0040,ne0040,Spain,free,homodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Majuelos,Valencia,contemporary,artist,negative,negative,high,land
ne0041,ne0041,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Confines,Valencia,contemporary,doctor,negative,negative,high,land
ne0042,ne0042,Spain,free,heterodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Parcent,Valencia,contemporary,artist,positive,positive,medium,land
ne0043,ne0043,Spain,free,heterodiegetic,third-person,male,rural,mature,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,lord,negative,negative,high,land
ne0044,ne0044,Spain,free,homodiegetic,first-person,male,rural,child,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,artist,negative,negative,medium,land
ne0045,ne0045,Spain,free,heterodiegetic,third-person,male,small-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Aduero,Valencia,contemporary,artist,negative,negative,medium,land
ne0047,ne0047,Spain,free,autodiegetic,first-person,male,rural,child,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,student,negative,negative,medium,land
ne0048,ne0048,Spain,free,heterodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Almina,Valencia,contemporary,none,negative,negative,high,land
ne0050,ne0050,Spain,free,heterodiegetic,third-person,female,rural,young,medium,realistic,Europe,Europe,Spain,Spain,Boraida,Valencia,contemporary,none,negative,negative,high,land
ne0052,ne0052,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Serosca,Valencia,contemporary,business owner,negative,negative,medium,land
ne0053,ne0053,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Alcera,Valencia,contemporary,business owner,positive,positive,medium,land
ne0054,ne0054,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Asia,not_Europe,Israel,not_Spain,Jerusalén,Israel,antiquity,religious,negative,negative,medium,land
ne0055,ne0055,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Asia,not_Europe,Israel,not_Spain,Jerusalén,Israel,antiquity,religious,positive,positive,medium,land
ne0056,ne0056,Spain,free,heterodiegetic,third-person,male,mixed,adult,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,public servant,partial positive,positive,medium,land
ne0057,ne0057,Spain,free,autodiegetic,first-person,male,rural,mature,medium,realistic,Europe,Europe,Spain,Spain,n.av.,Valencia,contemporary,public servant,neutral,neutral,medium,land
ne0059,ne0059,Spain,free,heterodiegetic,third-person,male,small-city,mature,medium,realistic,Europe,Europe,Spain,Spain,Oleza,Valencia,contemporary,worker,partial positive,positive,medium,land
ne0061,ne0061,Spain,free,heterodiegetic,third-person,male,rural,child,medium,realistic,Europe,Europe,Spain,Spain,Oleza,Valencia,contemporary,student,neutral,neutral,high,land
ne0063,ne0063,Spain,restricted,heterodiegetic,third-person,male,big-city,young,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,mixed,partial negative,negative,medium,land
ne0064,ne0064,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,mixed,neutral,neutral,medium,land
ne0065,ne0065,Spain,restricted,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,business owner,positive,positive,medium,land
ne0066,ne0066,Spain,restricted,heterodiegetic,third-person,male,small-city,child,medium,realistic,Europe,Europe,Spain,Spain,mixed,Navarra,contemporary,military personnel,negative,negative,high,land
ne0067,ne0067,Spain,restricted,heterodiegetic,third-person,male,big-city,child,low,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,researcher,neutral,neutral,high,land
ne0068,ne0068,Spain,restricted,heterodiegetic,third-person,male,mixed,young,medium,realistic,Europe,Europe,Spain,Spain,mixed,Castilla,contemporary,doctor,negative,negative,high,land
ne0069,ne0069,Spain,free,heterodiegetic,third-person,male,big-city,child,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,artist,partial negative,negative,high,land
ne0070,ne0070,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,researcher,negative,negative,high,land
ne0072,ne0072,Spain,free,heterodiegetic,third-person,female,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,unknown,unknown,contemporary,housewife,neutral,neutral,medium,land
ne0074,ne0074,Spain,free,homodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Valverde de Lucerna,Castilla,contemporary,religious,negative,negative,high,land
ne0075,ne0075,Spain,free,heterodiegetic,third-person,female,small-city,young,low,realistic,Europe,Europe,Spain,Spain,Marineda,Galicia,contemporary,worker,negative,negative,high,land
ne0076,ne0076,Spain,free,heterodiegetic,third-person,male,rural,adult,low,realistic,Europe,Europe,Spain,Spain,Vilamorta,Galicia,contemporary,artist,negative,negative,medium,land
ne0077,ne0077,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Pazos de Ulloa,Galicia,contemporary,religious,negative,negative,high,land
ne0078,ne0078,Spain,free,heterodiegetic,third-person,male,rural,adult,medium,realistic,Europe,Europe,Spain,Spain,Pazos de Ulloa,Galicia,contemporary,military personnel,negative,negative,medium,land
ne0079,ne0079,Spain,free,heterodiegetic,third-person,female,big-city,adult,high,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,lord,positive,positive,high,land
ne0080,ne0080,Spain,free,autodiegetic,first-person,female,small-city,mature,medium,realistic,Europe,Europe,Spain,Spain,Marineda,Galicia,contemporary,worker,negative,negative,medium,land
ne0081,ne0081,Spain,free,autodiegetic,first-person,male,small-city,adult,high,realistic,Europe,Europe,Spain,Spain,Marineda,Galicia,contemporary,none,positive,positive,medium,land
ne0082,ne0082,Spain,free,heterodiegetic,third-person,male,small-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Marineda,Galicia,contemporary,doctor,negative,negative,medium,land
ne0083,ne0083,Spain,free,homodiegetic,third-person,female,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,housewife,partial negative,negative,medium,land
ne0084,ne0084,Spain,free,mixed,mixed,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,artist,partial negative,negative,medium,land
ne0085,ne0085,Spain,free,autodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Madrid,Castilla,contemporary,public servant,negative,negative,medium,land
ne0086,ne0086,Spain,free,heterodiegetic,third-person,female,small-city,young,medium,realistic,Europe,Europe,Spain,Spain,Alcalá de Henares,Castilla,contemporary,none,positive,positive,medium,land
ne0087,ne0087,Spain,free,heterodiegetic,third-person,female,big-city,young,medium,realistic,Europe,Europe,France,not_Spain,París,Isla de Francia,contemporary,housewife,negative,negative,medium,land
ne0106,ne0106,Spain,free,heterodiegetic,third-person,male,rural,child,high,non-realistic,Europe,Europe,France,not_Spain,mixed,Bretaña,middle_ages,lord,negative,negative,high,land
ne0108,ne0108,Spain,restricted,autodiegetic,first-person,male,big-city,adult,medium,realistic,Europe,Europe,France,not_Spain,París,Isla de Francia,contemporary,doctor,negative,negative,high,land
ne0109,ne0109,Spain,restricted,dialogue,second-person,female,rural,adult,high,realistic,Europe,Europe,Spain,Spain,Arbea,País Vasco,contemporary,business owner,positive,positive,medium,land
ne0114,ne0114,Spain,free,heterodiegetic,third-person,male,big-city,adult,medium,realistic,Europe,Europe,Spain,Spain,Bilbao,País Vasco,contemporary,business owner,negative,negative,medium,land
ne0120,ne0120,Spain,free,homodiegetic,third-person,male,rural,adult,high,realistic,Europe,Europe,Spain,Spain,unknown,Galicia,contemporary,unknown,negative,negative,high,land
ne0121,ne0121,Spain,restricted,heterodiegetic,third-person,male,rural,young,medium,realistic,Europe,Europe,Spain,Spain,mixed,mixed,contemporary,artist,partial negative,negative,medium,land
