,section,speech,narrated,emotional_NRC,neutral_NRC,positive_NRC,negative_NRC,speech_emotional_NRC,narrated_emotional_NRC,speech_neutral_NRC,narrated_neutral_NRC
nh0001_1,1,58.36177474402731,41.638225255972685,35.153583617747444,64.84641638225256,13.993174061433447,8.873720136518774,10.921501706484642,24.232081911262803,47.44027303754266,17.4061433447099
nh0001_2,2,56.996587030716725,43.00341296928328,44.709897610921495,55.290102389078505,10.238907849829351,12.969283276450513,18.77133105802048,25.938566552901026,38.22525597269625,17.064846416382252
nh0001_3,3,47.7815699658703,52.2184300341297,50.51194539249146,49.48805460750854,16.723549488054605,14.675767918088734,13.651877133105804,36.860068259385656,34.129692832764505,15.358361774744028
nh0001_4,4,47.7815699658703,52.2184300341297,47.44027303754266,52.55972696245734,12.969283276450513,14.334470989761092,11.262798634812286,36.177474402730375,36.518771331058026,16.040955631399314
nh0001_5,5,59.32203389830508,40.67796610169492,38.983050847457626,61.016949152542374,13.220338983050848,9.830508474576273,13.559322033898303,25.423728813559322,45.76271186440679,15.254237288135593
nh0002_1,1,29.39958592132505,70.60041407867493,50.10351966873706,49.89648033126294,21.22153209109731,12.008281573498964,5.590062111801243,44.51345755693582,23.809523809523807,26.08695652173913
nh0002_2,2,44.92753623188405,55.07246376811594,43.581780538302276,56.41821946169773,18.426501035196686,10.869565217391305,9.420289855072463,34.16149068322981,35.507246376811594,20.91097308488613
nh0002_3,3,46.99792960662526,53.00207039337474,37.267080745341616,62.732919254658384,14.699792960662524,7.453416149068322,11.076604554865424,26.190476190476193,35.921325051759844,26.811594202898554
nh0002_4,4,46.68737060041408,53.31262939958592,36.64596273291926,63.35403726708075,15.63146997929607,7.971014492753622,8.902691511387163,27.74327122153209,37.7846790890269,25.56935817805383
nh0002_5,5,52.680412371134025,47.319587628865975,32.164948453608254,67.83505154639175,14.020618556701029,8.041237113402063,8.350515463917525,23.81443298969072,44.329896907216494,23.505154639175252
nh0003_1,1,44.11764705882353,55.88235294117647,33.088235294117645,66.91176470588235,12.5,8.088235294117647,8.823529411764708,24.264705882352942,35.29411764705883,31.617647058823533
nh0003_2,2,53.67647058823529,46.32352941176471,30.14705882352941,69.85294117647058,14.705882352941178,5.882352941176469,13.970588235294118,16.176470588235293,39.70588235294117,30.14705882352941
nh0003_3,3,51.470588235294116,48.529411764705884,33.82352941176471,66.17647058823529,15.441176470588234,3.6764705882352944,16.911764705882355,16.911764705882355,34.55882352941176,31.617647058823533
nh0003_4,4,40.44117647058824,59.558823529411754,30.882352941176467,69.11764705882352,9.558823529411764,11.029411764705882,7.352941176470589,23.529411764705877,33.088235294117645,36.02941176470589
nh0003_5,5,43.165467625899275,56.834532374100725,25.89928057553957,74.10071942446042,4.316546762589929,12.949640287769785,4.316546762589929,21.582733812949638,38.84892086330935,35.25179856115108
nh0004_1,1,55.721393034825866,44.278606965174134,37.3134328358209,62.6865671641791,14.925373134328355,9.950248756218906,13.432835820895527,23.88059701492537,42.288557213930346,20.39800995024876
nh0004_2,2,77.61194029850745,22.388059701492534,36.81592039800995,63.18407960199005,16.91542288557214,5.970149253731343,24.875621890547265,11.940298507462686,52.73631840796021,10.44776119402985
nh0004_3,3,57.21393034825871,42.78606965174129,40.796019900497505,59.203980099502495,17.412935323383085,7.4626865671641776,16.91542288557214,23.88059701492537,40.29850746268657,18.905472636815922
nh0004_4,4,33.33333333333333,66.66666666666666,51.7412935323383,48.2587064676617,10.44776119402985,15.422885572139304,7.4626865671641776,44.278606965174134,25.87064676616915,22.388059701492534
nh0004_5,5,39.40886699507389,60.59113300492611,41.379310344827594,58.620689655172406,13.300492610837441,13.300492610837441,7.389162561576356,33.99014778325123,32.01970443349754,26.600985221674883
nh0005_1,1,39.473684210526315,60.526315789473685,71.9298245614035,28.070175438596486,42.982456140350884,6.140350877192982,23.684210526315788,48.24561403508772,15.789473684210524,12.280701754385964
nh0005_2,2,52.631578947368425,47.368421052631575,64.03508771929825,35.96491228070175,42.982456140350884,4.385964912280701,28.947368421052637,35.08771929824561,23.684210526315788,12.280701754385964
nh0005_3,3,25.438596491228072,74.56140350877193,57.017543859649116,42.982456140350884,36.84210526315789,5.263157894736842,15.789473684210524,41.2280701754386,9.649122807017543,33.33333333333333
nh0005_4,4,31.578947368421048,68.42105263157895,73.68421052631578,26.315789473684212,32.45614035087719,13.157894736842106,23.684210526315788,50.0,7.894736842105262,18.421052631578945
nh0005_5,5,47.45762711864407,52.54237288135593,68.64406779661016,31.355932203389827,24.576271186440678,9.322033898305083,29.66101694915254,38.983050847457626,17.796610169491522,13.559322033898303
