0,capitán-dinero-peso (0)
1,puerta-calle-dama (1)
2,duque-toro-rey (2)
3,indio-caballo-toldo (3)
4,boca-cuerpo-carne (4)
5,instante-puerta-fraile (5)
6,puerta-calle-cabeza (6)
7,emperador-capitán-ejército (7)
8,esclavo-negro-amo (8)
9,barón-héroe-jefe (9)
10,español-sacerdote-indio (10)
11,caballo-tierra-campo (11)
12,baile-mesa-mirada (12)
13,dinero-peso-cura (13)
14,gobierno-jefe-ministro (14)
15,carta-alma-corazón (15)
16,soldado-jefe-tropa (16)
17,caballo-paisano-partida (17)
18,carta-alma-amor (18)
19,médico-doctor-escuela (19)
20,amor-corazón-alma (20)
21,primo-carta-criado (21)
22,papel-dinero-palabra (22)
23,caballo-camino-amo (23)
24,cuerpo-hipo-amor (24)
25,palabra-puerta-cabeza (25)
26,pollo-concha-criado (26)
27,corazón-voz-brazo (27)
28,cara-palabra-boca (28)
29,doctor-provincia-libro (29)
