idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
nh0002,0.0077033655865295,0.0032937543450593286,0.0009811296393901776,0.001359036962660667,0.014276920348675786,0.00638422407602427,0.03353470164784283,0.0010188624700652284,0.003514996430970788,0.0013464149989091906,0.0007859929809638593,0.028062246795833308,0.03850027154369015,0.011099919996925221,0.07412133017358438,0.0012280147475004913,0.001056485809785366,0.012791990907191457,0.0026752856938064016,0.005605652751604705,0.08117017345979355,0.005518178105563221,0.08505872350928942,0.018645374186226464,0.0009583370698113389,0.0058924853682575645,0.0008479547189323433,0.028756179307376086,0.0036817378336306207,0.5201302585341062
nh0003,0.18329126959559794,0.011800091354284751,0.00021613176921236654,0.0002483067700118823,0.4535202151772288,0.0058835086635724634,0.037172933895452225,0.0003006405454308176,0.0013065198116809765,0.00022736292406479685,0.0002008457491753583,0.004337168086730518,0.016823932106800856,0.005205816579610741,0.0007522632603644125,0.000366577376244725,0.0027393123355266224,0.05543769757517107,0.019423993503564944,0.0003893012484051148,0.013355265302180465,0.011746296957949088,0.0079175303809315,0.1126513568763035,0.0028423038533666456,0.00037886319393893626,0.03599286770116417,0.006535443810937862,0.0003749687521923464,0.008561214842904041
nh0004,0.004960162991660708,0.026489362212135322,0.0017617671209807899,0.018210389019623376,0.0004015812962600666,0.004648376623540482,0.003975705936144481,0.0016848353436256394,0.00226273780731305,0.00011289762711812028,0.4010008494975276,0.08135586116055012,0.008951406013621146,0.011701906496982302,0.20312664251055626,0.0008700648383797754,0.10551436180678347,0.0021227656091439753,0.004410349110150738,0.0005270691596991691,0.007455239283863575,0.0001085774262723122,0.05789501759888515,0.01630193806729168,0.003948293569916165,0.0021672698213334196,8.017696643028237e-05,0.01149142781555883,0.000671348033560679,0.01579161923509127
nh0006,0.009944862931763067,0.002573092445208468,0.00012495270075744405,0.0006177142457510705,0.0009137084052437323,0.0007322131402257192,0.01771950408795027,0.017374297194469496,0.0027898442863471627,0.002555984481388669,0.0009504938577786152,0.04248780905800304,0.14023950771866264,0.010379703954183571,0.0921042221216131,0.0010908512464639455,0.1175380610558452,0.0076220620936922525,0.00867448101116434,0.0003816606528297105,0.3386264063782362,0.012400030909043087,0.03515022171852846,0.035042153522515135,8.141163498698447e-05,0.007179808862113812,0.002274780355285226,0.08788571509643667,0.0008425762498649599,0.0037018685836480328
nh0007,0.1178103520300406,0.0035263951173766755,0.00012903908187578237,0.001544685290546639,0.010489140317705712,0.005017145621098394,0.011203293543990364,0.0031253365574681773,0.0061417210806472885,0.0073113039479826055,0.0024797970668758683,0.1357340014763879,0.025381642024879702,0.001694817241531252,0.1318165246796384,0.0007595000247469143,0.07383239712026467,0.030886118123640383,0.012723624062342549,0.0007481576609900307,0.1640494617516674,0.002196543824061593,0.030222967065437773,0.11764125669565359,0.0017756500701160164,0.002280890045363663,0.0005890256724488396,0.09791603364998346,0.00044331470319140993,0.0005298644520462102
nh0011,0.0036418554711851827,0.0034838812247910745,0.0030322421473376773,0.0014220771811391344,0.42945963277292715,0.0017845718139826636,0.06918911835701144,0.0030761559974371027,0.0016402437273242254,0.0004851568938308109,0.00033672419371217325,0.0635095950588532,0.06135925705736887,0.008172794370919964,0.002400457490930004,0.004238727068539438,0.0004487256361283969,0.00997589592676982,0.005849182986717533,0.01151179533295797,0.07411634650512784,0.0005484375710073663,0.04266014855408948,0.01071073639527027,0.001975149588264791,0.0066620368442345855,0.0011017554056887038,0.1668085870321736,0.0003730276065862537,0.010025683787693255
nh0012,0.0050250366140139,0.003928839394081129,0.00011537593660846406,0.0017220075228774334,0.2615655145256557,0.002903479949971813,0.14744301324401624,0.0003091961631457185,0.0020316542665109565,0.00027117047880401217,0.00010721591975757411,0.010596400672208345,0.034616730748585456,0.009393216773416702,0.00327989816101085,0.00384990315384206,0.0011326951420337933,0.00940573080857833,0.0038343415094565965,0.01609421300197927,0.06854830943040079,0.014057919446209937,0.20716055894351088,0.016858485702538558,0.0029816821728124864,0.0009810902706458126,8.619480338048571e-05,0.08006148842760852,0.004455619113800018,0.0871830177025382
nh0013,0.005330672532271515,0.006005518423178832,0.0023202759936152397,0.005828129270107945,0.011913657693954844,0.0009293767826535848,0.349956779603342,0.0006879813221287451,0.01811295704508044,0.0017748982631957926,0.00012072395293047981,0.08312594483119692,0.1819810757514234,0.01425286769881612,0.000959080655645513,0.007241911515360944,0.0013865808692127034,0.010560970608820549,0.004637172922612977,0.0013171545050501615,0.13957813567076863,0.00717560906141418,0.05373528458485721,0.0019128515403096838,0.00021281549582354256,0.00035493697759739456,0.0006097450182603121,0.0754033514574089,0.00802819961050893,0.0045453403424523435
nh0014,0.0006015830730242468,0.0037653811243464324,0.0033053058917398223,0.00044028460774288785,0.0008052656457542182,0.0014834275896659995,0.005183976061503587,0.0024738940509302977,0.0009638657666442343,0.034257871171527426,0.008422892273074616,0.09843643103392107,0.0046987621418058964,0.004347360177840295,0.005483326905123226,0.0016804463907832724,0.0058800080027027616,0.0004940896349125038,0.0008160773539518601,0.0005486792968539203,0.2923966940925637,0.0004107561454585656,0.012611899253754642,0.0035136764328563,0.00013050338865007243,0.0008750845589751797,0.0001496396911608367,0.49844298303069623,0.00034750209604514706,0.007032333115990766
nh0015,0.005358110478053323,0.016098007903182925,0.0029022292030953605,0.0001628591690141711,0.0010037287594520745,0.0009273550748184358,0.016538794713095873,0.0008280878408706082,0.0016862395120701857,0.05421712210021051,0.00358392068611055,0.10953385055765819,0.019549453277229713,0.032759802110143066,0.0024292527458430117,0.00024043036310187675,0.02544421001552781,0.003959327205788107,0.0003149447138208159,0.00025533447118015524,0.2019075402755051,0.00014341613976420867,0.06134627449537288,0.0005250825834306014,0.0015057603500944479,0.010712843792288257,0.0006812679949054601,0.42481385895003343,0.0002459340894547656,0.00032496042888401126
